 N-H1 / A, N-H2 / A, energy A1 / Hartree
                  0.7,                  0.8,   -285.8691042880
                  0.7,                  0.9,   -285.9148539953
                  0.7,    1.027670912265692,   -285.9259940982
                  0.8,                  0.8,   -285.9779814121
                  0.8,                  0.9,   -286.0241724371
                  0.8,    1.027670912265692,   -286.0356539347
                  0.9,                  0.9,   -286.0705390733
                  0.9,    1.027670912265692,   -286.0824984416
    1.027670912265692,    1.027670912265692,   -286.0945184995
                  1.1,    1.027670912265692,   -286.0886828821
                  1.1,                  1.1,   -286.0826624848
                  1.2,    1.027670912265692,   -286.0729828799
                  1.2,                  1.1,   -286.0668931766
                  1.2,                  1.2,   -286.0510963845
                  1.3,    1.027670912265692,   -286.0537939270
                  1.3,                  1.1,   -286.0477109171
                  1.3,                  1.2,   -286.0317011944
                  1.3,                  1.3,   -286.0118984105
                  1.4,    1.027670912265692,   -286.0339603392
                  1.4,                  1.1,   -286.0279555722
                  1.4,                  1.2,   -286.0115477618
                  1.4,                  1.3,   -285.9909550937
                  1.4,                  1.4,   -285.9692695619
                  1.5,    1.027670912265692,   -286.0131845921
                  1.5,                  1.1,   -286.0073000139
                  1.5,                  1.2,   -285.9909814858
                  1.5,                  1.3,   -285.9701709146
                  1.5,                  1.4,   -285.9479723072
                  1.6,    1.027670912265692,   -285.9924177791
                  1.6,                  1.1,   -285.9865968453
                  1.6,                  1.2,   -285.9703662357
                  1.6,                  1.3,   -285.9496815341
                  1.6,                  1.4,   -285.9276086328
                  1.6,                  1.5,   -285.9058463456
                  1.6,                  1.6,   -285.8852941929
                  1.7,    1.027670912265692,   -285.9729387906
                  1.7,                  1.1,   -285.9671693455
                  1.7,                  1.2,   -285.9510164611
                  1.7,                  1.3,   -285.9304268340
                  1.7,                  1.4,   -285.9084265276
                  1.7,                  1.5,   -285.8867316313
                  1.8,    1.027670912265692,   -285.9552496431
                  1.8,                  1.1,   -285.9495305629
                  1.8,                  1.2,   -285.9334698321
                  1.9,    1.027670912265692,   -285.9395572677
                  1.9,                  1.1,   -285.9338909953
                  2.0,    1.027670912265692,   -285.9259269871
                  2.1,    1.027670912265692,   -285.9167111388
                  2.2,    1.027670912265692,   -285.9076121835
                  2.3,    1.027670912265692,   -285.9001209029
                  2.4,    1.027670912265692,   -285.8939962762
                  2.5,    1.027670912265692,   -285.8889784101
                  2.6,    1.027670912265692,   -285.8847883090
                  2.7,    1.027670912265692,   -285.8820376123
                  2.8,    1.027670912265692,   -285.8797295317
                  2.9,    1.027670912265692,   -285.8779358920
                  3.0,    1.027670912265692,   -285.8765742776
                  4.0,    1.027670912265692,   -285.8728674546
                  5.0,    1.027670912265692,   -285.8726856131
                  6.0,    1.027670912265692,   -285.8726661285
