Contour value = 0.85
460800 = number of vibrational basis functions from initial-state totally symemtric irreducible
921600 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       13.59287       37.53053          3              2.90275
   2       -7.60087       11.79242          1              0.05741
   3      -31.77887      -14.11622          4              3.63779
   4       -9.74068        7.50877          0             -0.04057
   5      -10.55435        6.27854          1              0.05524
   6        0.96699       16.76682          2              1.08879
   7      -12.91231        2.63451          1              0.55459
   8       -9.10202        4.86797          1              0.10341
   9      -15.70437       -2.10259          2              1.35118
  10       -4.70895        5.13400          0             -0.10340
  11       -4.52146        5.27972          0             -0.07654
  12       -5.45610        4.29977          0             -0.04219
  13       -2.44079        7.17836          1              0.29840
  14      -18.34851       17.64811          0             -0.21808
  15      -15.66452        7.87700          1              0.01314
  16       37.80055       53.34357          9              8.25455
  17       -0.76523       20.38260          1              0.78478
  18       -6.91609       12.70298          1              0.11579
  19       -9.71738        8.54515          0             -0.07770
  20       -8.28952        9.00991          0             -0.10494
  21      -14.13356       14.13354          0             -0.14774
  22      -10.92981       10.92961          0             -0.14651
  23       -8.23472        8.23472          0             -0.18306
  24       -8.14615        8.14620          0             -0.15546
  25       -7.98680        7.98695          0             -0.13383
  26       -7.68371        7.68364          0             -0.11629
  27       -7.33784        7.33784          0             -0.14440
  28       -7.05950        7.05941          0             -0.14402
  29       -6.71823        6.71837          0             -0.14827
  30       -4.92042        4.92047          0             -0.13444
  31       -4.89700        4.89697          0             -0.13420
  32       -4.71233        4.71238          0             -0.15080
  33      -13.25404       13.25402          0             -0.20653
  34      -16.00590       16.00595          1              0.21193
  35       -9.54214        9.54199          0             -0.14224
  36       -8.71326        8.71322          0             -0.14037
