Contour value = 0.75
17280 = number of vibrational basis functions from initial-state totally symemtric irreducible
34560 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       15.00097       36.12243          3              2.65220
   2       -6.46009       10.65164          0             -0.04522
   3      -30.73989      -15.15520          4              3.37165
   4       -8.72600        6.49409          0             -0.13130
   5       -9.56418        5.28837          0             -0.04406
   6        1.89639       15.83742          1              0.91753
   7      -11.99779        1.71999          1              0.41050
   8       -8.28026        4.04621          0             -0.00063
   9      -14.90427       -2.90269          2              1.16736
  10       -4.12996        4.55500          0             -0.18781
  11       -3.94492        4.70318          0             -0.16397
  12       -4.88223        3.72589          0             -0.13343
  13       -1.87496        6.61252          1              0.17749
  14      -16.23107       15.53066          0             -0.27939
  15      -14.27973        6.49220          0             -0.07357
  16       38.71485       52.42928          8              7.95702
  17        0.47876       19.13861          1              0.63274
  18       -5.76203       11.54892          1              0.00898
  19       -8.64311        7.47089          0             -0.16591
  20       -7.27191        7.99230          0             -0.18914
  21      -12.47079       12.47077          0             -0.22575
  22       -9.64396        9.64376          0             -0.22479
  23       -7.26593        7.26593          0             -0.25325
  24       -7.18777        7.18782          0             -0.23176
  25       -7.04716        7.04732          0             -0.21492
  26       -6.77975        6.77968          0             -0.20126
  27       -6.47457        6.47456          0             -0.22315
  28       -6.22898        6.22889          0             -0.22286
  29       -5.92784        5.92799          0             -0.22616
  30       -4.34154        4.34159          0             -0.21540
  31       -4.32089        4.32085          0             -0.21521
  32       -4.15794        4.15799          0             -0.22813
  33      -11.69474       11.69472          0             -0.27152
  34      -14.12285       14.12290          1              0.05427
  35       -8.41954        8.41939          0             -0.22146
  36       -7.68817        7.68813          0             -0.22001
