Contour value = 0.96
1474560 = number of vibrational basis functions from initial-state totally symemtric irreducible
11796480 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -39.72436      -12.79969          4              3.15579
   2      -28.27911       -7.99132          3              2.24707
   3      -17.21227        4.41839          1              0.70160
   4      -11.10614        8.20724          1              0.09744
   5       -3.93333       15.31161          1              0.65624
   6      -15.40400        2.43900          1              0.79223
   7      -15.49941        2.02674          2              1.01496
   8       -9.07882        6.69960          1              0.09067
   9      -17.97156       -2.58834          3              2.01490
  10       -5.37979        5.73809          0             -0.00528
  11       -5.01964        6.05527          1              0.05478
  12       -6.71452        4.29141          1              0.18998
  13       -7.87897        2.99337          1              0.46877
  14      -20.31808       19.57383          0             -0.13860
  15       38.07242       55.66431          5              4.96769
  16       -9.95406       16.48889          1              0.05786
  17      -10.33753       14.82492          1              0.13774
  18      -10.73616       11.48052          0             -0.04371
  19       -9.75581       10.66430          0             -0.04400
  20      -10.21724        9.59462          0             -0.04088
  21      -10.45680       10.45683          0             -0.96266
  22      -14.57214       14.57212          1              0.02559
  23      -12.33153       12.33133          0             -0.05181
  24       -9.16926        9.16930          0             -0.07895
  25       -9.05966        9.05967          0             -0.06045
  26       -9.05775        9.05754          0             -0.01040
  27       -8.05607        8.05620          0             -0.03930
  28       -8.50014        8.50013          1              0.02316
  29       -8.03912        8.03917          1              0.00943
  30       -5.62055        5.62050          0             -0.02375
  31       -5.59404        5.59408          0             -0.02732
  32       -5.32966        5.32971          0             -0.04304
  33      -17.48233       17.48240          0             -1.19196
  34      -14.88173       14.88171          0             -0.19002
  35      -10.79383       10.79369          0             -0.11628
  36      -11.03007       11.03003          0             -0.00235
