 N     7.0    0.05017615    0.00000000   -4.30958323   14.00307401
 C     6.0    0.01506055    0.00000000   -1.77879995   12.00000000
 C     6.0    0.01152995   -2.34142795   -0.42202430   12.00000000
 C     6.0    0.01152995    2.34142795   -0.42202430   12.00000000
 C     6.0   -0.00113675   -2.30473850    2.17106444   12.00000000
 C     6.0   -0.00113675    2.30473850    2.17106444   12.00000000
 C     6.0   -0.00830126   -0.00000000    3.47976936   12.00000000
 H     1.0   -0.04510352   -1.66495754   -5.29773425    1.00782504
 H     1.0   -0.04510352    1.66495754   -5.29773425    1.00782504
 H     1.0    0.02067240   -4.07731938   -1.45612308    1.00782504
 H     1.0    0.02067240    4.07731938   -1.45612308    1.00782504
 H     1.0   -0.00561536   -4.04599612    3.20466341    1.00782504
 H     1.0   -0.00561536    4.04599612    3.20466341    1.00782504
 H     1.0   -0.01762889   -0.00000000    5.50670952    1.00782504
 N     7.0    0.10156621    0.00000000   -4.32761883   14.00307401
 C     6.0    0.03062145   -0.00000000   -1.78006249   12.00000000
 C     6.0    0.02348496   -2.34389650   -0.43263966   12.00000000
 C     6.0    0.02348496    2.34389650   -0.43263966   12.00000000
 C     6.0   -0.00234264   -2.30960738    2.17844663   12.00000000
 C     6.0   -0.00234264    2.30960738    2.17844663   12.00000000
 C     6.0   -0.01680123   -0.00000000    3.48419843   12.00000000
 H     1.0   -0.09143687   -1.66919734   -5.28695938    1.00782504
 H     1.0   -0.09143687    1.66919734   -5.28695938    1.00782504
 H     1.0    0.04189892   -4.08004939   -1.46713098    1.00782504
 H     1.0    0.04189892    4.08004939   -1.46713098    1.00782504
 H     1.0   -0.01144202   -4.04992512    3.21315637    1.00782504
 H     1.0   -0.01144202    4.04992512    3.21315637    1.00782504
 H     1.0   -0.03571115   -0.00000000    5.51152510    1.00782504
 N     7.0    0.15387118    0.00000000   -4.34481386   14.00307401
 C     6.0    0.04650826    0.00000000   -1.78099976   12.00000000
 C     6.0    0.03575686   -2.34632599   -0.44293620   12.00000000
 C     6.0    0.03575686    2.34632599   -0.44293620   12.00000000
 C     6.0   -0.00360835   -2.31447344    2.18607525   12.00000000
 C     6.0   -0.00360835    2.31447344    2.18607525   12.00000000
 C     6.0   -0.02542775   -0.00000000    3.48881814   12.00000000
 H     1.0   -0.13868489   -1.66535135   -5.27811201    1.00782504
 H     1.0   -0.13868489    1.66535135   -5.27811201    1.00782504
 H     1.0    0.06352234   -4.08273077   -1.47775093    1.00782504
 H     1.0    0.06352234    4.08273077   -1.47775093    1.00782504
 H     1.0   -0.01742226   -4.05385019    3.22187379    1.00782504
 H     1.0   -0.01742226    4.05385019    3.22187379    1.00782504
 H     1.0   -0.05407911   -0.00000000    5.51648383    1.00782504
 N     7.0    0.20676976    0.00000537   -4.36115339   14.00307401
 C     6.0    0.06253547    0.00000490   -1.78160445   12.00000000
 C     6.0    0.04823371   -2.34871159   -0.45290594   12.00000000
 C     6.0    0.04822355    2.34872118   -0.45290567   12.00000000
 C     6.0   -0.00491700   -2.31933214    2.19395646   12.00000000
 C     6.0   -0.00492704    2.31934119    2.19395673   12.00000000
 C     6.0   -0.03410269    0.00000438    3.49363485   12.00000000
 H     1.0   -0.18653055   -1.65329203   -5.27120995    1.00782504
 H     1.0   -0.18653771    1.65330117   -5.27120975    1.00782504
 H     1.0    0.08538228   -4.08535858   -1.48797477    1.00782504
 H     1.0    0.08536460    4.08536845   -1.48797429    1.00782504
 H     1.0   -0.02348365   -4.05776687    3.23082143    1.00782504
 H     1.0   -0.02350121    4.05777572    3.23082191    1.00782504
 H     1.0   -0.07255298    0.00000418    5.52159171    1.00782504
 N     7.0    0.25998211    0.00000548   -4.37664840   14.00307401
 C     6.0    0.07854004    0.00000494   -1.78188916   12.00000000
 C     6.0    0.06079752   -2.35106286   -0.46255986   12.00000000
 C     6.0    0.06078734    2.35107250   -0.46255959   12.00000000
 C     6.0   -0.00627705   -2.32419248    2.20207957   12.00000000
 C     6.0   -0.00628711    2.32420152    2.20207984   12.00000000
 C     6.0   -0.04277011    0.00000436    3.49863882   12.00000000
 H     1.0   -0.23460136   -1.63295623   -5.26624364    1.00782504
 H     1.0   -0.23460843    1.63296516   -5.26624345    1.00782504
 H     1.0    0.10730988   -4.08794267   -1.49781448    1.00782504
 H     1.0    0.10729219    4.08795263   -1.49781400    1.00782504
 H     1.0   -0.02959918   -4.06168400    3.23998927    1.00782504
 H     1.0   -0.02961676    4.06169282    3.23998975    1.00782504
 H     1.0   -0.09099259    0.00000414    5.52684021    1.00782504
