Ground state energy = 26531.92 cm^-1
Max intensity = 0.021630
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
   148       2922.57    0.00000e+00    0.0005494    0.0000003    0.00001396    1.342045333514209e-01
   151       2935.52    0.00000e+00    0.0018478    0.0000034    0.00015784    1.342635333845084e-01
   153       2942.30    0.00000e+00    0.0003288    0.0000001    0.00000500    1.342944149790727e-01
   158       2957.98    0.00000e+00    0.0005126    0.0000003    0.00001215    1.343658634125491e-01
   160       2972.91    0.00000e+00    0.0004990    0.0000002    0.00001151    1.344339089856187e-01
   161       2976.78    0.00000e+00    0.0063027    0.0000397    0.00183652    1.344515417808137e-01
   164       2987.05    0.00000e+00    0.0003616    0.0000001    0.00000604    1.344983346683212e-01
   165       2992.79    0.00000e+00    0.0035961    0.0000129    0.00059788    1.345244987580617e-01
   166       2997.28    0.00000e+00    0.0012496    0.0000016    0.00007219    1.345449532085971e-01
   168       3008.03    0.00000e+00    0.0108210    0.0001171    0.00541345    1.345939196638691e-01
   173       3033.88    0.00000e+00    0.0009203    0.0000008    0.00003915    1.347117185260207e-01
   174       3035.73    0.00000e+00    0.0005856    0.0000003    0.00001586    1.347201129898508e-01
   176       3047.67    0.00000e+00    0.0032481    0.0000106    0.00048776    1.347745434068043e-01
   180       3070.92    0.00000e+00    0.0019292    0.0000037    0.00017207    1.348804631788172e-01
   181       3072.36    0.00000e+00    0.0003320    0.0000001    0.00000510    1.348870444795213e-01
   183       3082.53    0.00000e+00    0.0030237    0.0000091    0.00042269    1.349333624608732e-01
   186       3097.95    0.00000e+00    0.0007101    0.0000005    0.00002331    1.350036258023673e-01
   187       3107.55    0.00000e+00    0.0004416    0.0000002    0.00000901    1.350473579892909e-01
   188       3110.02    0.00000e+00    0.0020462    0.0000042    0.00019357    1.350586028913256e-01
   190       3113.44    0.00000e+00    0.0021322    0.0000045    0.00021019    1.350741926429980e-01
   193       3120.11    0.00000e+00    0.0003702    0.0000001    0.00000634    1.351046034968413e-01
   194       3122.43    0.00000e+00    0.0004269    0.0000002    0.00000843    1.351151487420060e-01
   195       3125.80    0.00000e+00    0.0015705    0.0000025    0.00011403    1.351305167455543e-01
   202       3164.87    0.00000e+00    0.0004704    0.0000002    0.00001023    1.353085182473295e-01
   203       3170.73    0.00000e+00    0.0045439    0.0000206    0.00095455    1.353352344634358e-01
   204       3172.24    0.00000e+00    0.0016699    0.0000028    0.00012891    1.353421138453761e-01
   205       3175.21    0.00000e+00    0.0003334    0.0000001    0.00000514    1.353556639624229e-01
   209       3187.12    0.00000e+00    0.0010133    0.0000010    0.00004747    1.354098866878940e-01
   210       3188.20    0.00000e+00    0.0006188    0.0000004    0.00001770    1.354148186699462e-01
   214       3210.64    0.00000e+00    0.0003699    0.0000001    0.00000633    1.355170544731289e-01
   215       3211.82    0.00000e+00    0.0019765    0.0000039    0.00018061    1.355224664145201e-01
   216       3214.47    0.00000e+00    0.0003963    0.0000002    0.00000726    1.355345298146290e-01
   217       3219.38    0.00000e+00    0.0030135    0.0000091    0.00041985    1.355569072787343e-01
   221       3235.73    0.00000e+00    0.0029003    0.0000084    0.00038888    1.356313771278571e-01
   227       3274.45    0.00000e+00    0.0007760    0.0000006    0.00002784    1.358078021786426e-01
   228       3275.90    0.00000e+00    0.0008723    0.0000008    0.00003518    1.358144421247427e-01
   229       3277.73    0.00000e+00    0.0007815    0.0000006    0.00002824    1.358227391099087e-01
   230       3277.82    0.00000e+00    0.0006964    0.0000005    0.00002242    1.358231787975577e-01
   231       3277.94    0.00000e+00    0.0004108    0.0000002    0.00000780    1.358237075929445e-01
   233       3289.98    0.00000e+00    0.0012185    0.0000015    0.00006864    1.358785954658197e-01
   234       3291.38    0.00000e+00    0.0022148    0.0000049    0.00022679    1.358849437302531e-01
   236       3300.23    0.00000e+00    0.0004247    0.0000002    0.00000834    1.359252793728102e-01
   239       3310.13    0.00000e+00    0.0006263    0.0000004    0.00001814    1.359704002643434e-01
   241       3313.37    0.00000e+00    0.0005495    0.0000003    0.00001396    1.359851497109292e-01
   243       3321.04    0.00000e+00    0.0051391    0.0000264    0.00122099    1.360200739677865e-01
   244       3323.64    0.00000e+00    0.0033494    0.0000112    0.00051866    1.360319618859546e-01
   246       3339.77    0.00000e+00    0.0004300    0.0000002    0.00000855    1.361054217471893e-01
   247       3340.58    0.00000e+00    0.0006427    0.0000004    0.00001910    1.361091180708811e-01
   250       3349.31    0.00000e+00    0.0053140    0.0000282    0.00130550    1.361488878973135e-01
   251       3349.43    0.00000e+00    0.0014314    0.0000020    0.00009472    1.361494383411254e-01
   253       3355.92    0.00000e+00    0.0008243    0.0000007    0.00003142    1.361790294888072e-01
   254       3358.85    0.00000e+00    0.0003459    0.0000001    0.00000553    1.361923691991741e-01
   255       3359.95    0.00000e+00    0.0074323    0.0000552    0.00255380    1.361973922650352e-01
