    3,1        1,3    
    3,2        1,3    
    3,3        1,3    
    3,4        1,3    
    3,5        1,3    
    3,6        1,3    
    3,7        1,3    
    3,8        1,3    
    3,9        1,3    
    3,10       1,3    
    3,1        1,14   
    3,2        1,14   
    3,3        1,14   
    3,4        1,14   
    3,5        1,14   
    3,6        1,14   
    3,7        1,14   
    3,8        1,14   
    3,9        1,14   
    3,10       1,14   
    5,1        2,1    
    5,1        2,2    
    8,1        6,1    
