    4,1        1,3    
    4,2        1,3    
    4,3        1,3    
    4,1        1,4    
    4,2        1,4    
    4,3        1,4    
    7,7        3,1    
    7,7        3,2    
    7,7        3,3    
    7,7        3,4    
    7,7        3,5    
    7,7        3,6    
    7,7        3,7    
    7,7        3,8    
    7,7        3,9    
    7,7        3,10   
    7,1        3,13   
    7,2        3,13   
    7,3        3,13   
    7,4        3,13   
    7,5        3,13   
    7,6        3,13   
    7,7        3,13   
    8,1        5,1    
