    6,1        1,1    
    6,1        1,2    
    6,1        1,3    
    6,1        1,5    
    6,1        1,6    
    6,1        1,7    
    6,1        1,8    
    6,1        1,9    
    6,1        1,10   
    6,1        1,11   
    6,1        1,12   
    6,1        1,13   
    6,1        1,14   
    4,1        2,1    
    4,2        2,1    
    4,3        2,1    
    4,1        2,2    
    4,2        2,2    
    4,3        2,2    
    8,1        3,1    
    8,1        3,2    
    8,1        3,3    
    8,1        3,4    
    8,1        3,5    
    8,1        3,6    
    8,1        3,7    
    8,1        3,8    
    8,1        3,9    
    8,1        3,10   
    7,1        5,1    
    7,2        5,1    
    7,3        5,1    
    7,4        5,1    
    7,5        5,1    
    7,6        5,1    
    6,1    
