 N-H1 / A, N-H2 / A, energy B1 / Hartree
                  0.7,                  0.8,   -285.7050458692
                  0.7,                  0.9,   -285.7530942419
                  0.7,    1.027670912265692,   -285.7676012762
                  0.8,                  0.8,   -285.8163541455
                  0.8,                  0.9,   -285.8649251816
                  0.8,    1.027670912265692,   -285.8798488498
                  0.9,                  0.9,   -285.9138486409
                  0.9,    1.027670912265692,   -285.9293646217
    1.027670912265692,    1.027670912265692,   -285.9453200579
                  1.1,    1.027670912265692,   -285.9422760009
                  1.1,                  1.1,   -285.9391862698
                  1.2,    1.027670912265692,   -285.9325466684
                  1.2,                  1.1,   -285.9295693592
                  1.2,                  1.2,   -285.9200844782
                  1.3,    1.027670912265692,   -285.9253563356
                  1.3,                  1.1,   -285.9223715585
                  1.3,                  1.2,   -285.9123232299
                  1.3,                  1.3,   -285.9025661997
                  1.4,    1.027670912265692,   -285.9272266660
                  1.4,                  1.1,   -285.9236815678
                  1.4,                  1.2,   -285.9118262243
                  1.4,                  1.3,   -285.8983811256
                  1.4,                  1.4,   -285.8887093380
                  1.5,    1.027670912265692,   -285.9327441926
                  1.5,                  1.1,   -285.9288107509
                  1.5,                  1.2,   -285.9159173396
                  1.5,                  1.3,   -285.9000545796
                  1.5,                  1.4,   -285.8856133234
                  1.6,    1.027670912265692,   -285.9380555408
                  1.6,                  1.1,   -285.9338922171
                  1.6,                  1.2,   -285.9204439242
                  1.6,                  1.3,   -285.9034779970
                  1.6,                  1.4,   -285.8867514322
                  1.6,                  1.5,   -285.8729338038
                  1.6,                  1.6,   -285.8639643785
                  1.7,    1.027670912265692,   -285.9425289426
                  1.7,                  1.1,   -285.9382338323
                  1.7,                  1.2,   -285.9244988211
                  1.7,                  1.3,   -285.9069887145
                  1.7,                  1.4,   -285.8891126760
                  1.7,                  1.5,   -285.8730510698
                  1.8,    1.027670912265692,   -285.9460842036
                  1.8,                  1.1,   -285.9417094791
                  1.8,                  1.2,   -285.9278346439
                  1.9,    1.027670912265692,   -285.9488330869
                  1.9,                  1.1,   -285.9444138521
                  2.0,    1.027670912265692,   -285.9509081689
                  2.1,    1.027670912265692,   -285.9515711001
                  2.2,    1.027670912265692,   -285.9530881954
                  2.3,    1.027670912265692,   -285.9543053177
                  2.4,    1.027670912265692,   -285.9552995039
                  2.5,    1.027670912265692,   -285.9561568820
                  2.6,    1.027670912265692,   -285.9572187912
                  2.7,    1.027670912265692,   -285.9588174995
                  2.8,    1.027670912265692,   -285.9587365688
                  2.9,    1.027670912265692,   -285.9585373389
                  3.0,    1.027670912265692,   -285.9583319968
                  4.0,    1.027670912265692,   -285.9576014997
                  5.0,    1.027670912265692,   -285.9575721634
                  6.0,    1.027670912265692,   -285.9575614774
