sin(NooC), energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree, energy A2 / Hartree
    0.000000000000000,   -286.0945184995,   -285.9453200579,   -285.9159186745,   -285.8659277742
    0.099833422691396,   -286.0936551309,   -285.9446939339,   -285.9153921705,   -285.8650778778
    0.198669338454128,   -286.0910565224,   -285.9428149726,   -285.9138109975,   -285.8625256738
    0.295520204280888,   -286.0867049171,   -285.9396851790,   -285.9111760012,   -285.8582696313
    0.389418342689716,   -286.0805760457,   -285.9353045850,   -285.9074917897,   -285.8523102265
    0.479425540126465,   -286.0726395034,   -285.9296682883,   -285.9027646812,   -285.8446532542
