-286.1067004909    -285.9219246451    -285.9182519662    -285.8686833945    
-286.1043157928    -285.9214237604    -285.9164716811    -285.8666507202    
-286.1004899848    -285.9195177373    -285.9132846414    -285.8631625142    
-286.0953559353    -285.9163261382    -285.9088267131    -285.8583407987    
-286.0890643095    -285.9119813241    -285.9032508509    -285.8523243078    
-286.0817903352    -285.9066339496    -285.8967325598    -285.8452748778    
-286.0737376184    -285.9004547745    -285.8894722796    -285.8373804981    
-286.0651385021    -285.8936317195    -285.8816945830    -285.8288541169    
-286.0562521776    -285.8863634506    -285.8736453359    -285.8199296618    
-286.0473591831    -285.8788487413    -285.8655852608    -285.8108544753    
-286.1066619501    -285.9182616545    -285.9170962112    -285.8679387594    
-286.1040073110    -285.9139240928    -285.9138791937    -285.8649520538    
-286.0994474890    -285.9088724438    -285.9076567197    -285.8600917563    
-286.0928763851    -285.9018358566    -285.8994981694    -285.8532685816    
-286.0841857259    -285.8927095959    -285.8893093890    -285.8443941141    
-286.0732462332    -285.8813719493    -285.8769773924    -285.8333599312    
-286.0598744100    -285.8676520030    -285.8623315750    -285.8199995905    
-286.0437805510    -285.8512777981    -285.8450824721    -285.8040288732    
-286.0244695061    -285.8317757708    -285.8247087052    -285.7849353938    
-286.0010115996    -285.8082395255    -285.8002087819    -285.7617348571    
