Contour value = 0.95
7372800 = number of vibrational basis functions from initial-state totally symemtric irreducible
14745600 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       10.74657       37.47775          3              2.89610
   2       -8.92981       12.74704          1              0.15129
   3      -32.45020      -12.70113          4              3.81284
   4      -10.85349        8.40460          1              0.07106
   5      -11.67825        7.13367          1              0.17980
   6        0.10793       17.76254          2              1.28347
   7      -13.80908        3.56215          1              0.70634
   8       -9.79769        5.81157          1              0.19932
   9      -16.45376       -1.25820          2              1.53309
  10       -5.30575        5.69517          0             -0.01196
  11       -5.07043        5.88375          1              0.02590
  12       -6.04634        4.85737          1              0.06222
  13       -7.78302        2.97097          1              0.43830
  14      -20.43121       19.75270          0             -0.15025
  15      -17.08599        9.26709          1              0.10974
  16       37.57005       54.90070          9              8.74028
  17       -4.66301       19.00740          1              0.61882
  18       -8.15542       13.78750          1              0.22500
  19      -10.78286        9.63589          1              0.01980
  20       -9.31475       10.02397          0             -0.01111
  21      -15.80221       15.80218          0             -0.05985
  22      -12.20875       12.20855          0             -0.05870
  23       -9.21444        9.21443          0             -0.10364
  24       -9.10789        9.10795          0             -0.06950
  25       -8.92784        8.92799          0             -0.04252
  26       -8.59002        8.58995          0             -0.02039
  27       -8.19976        8.19976          0             -0.05604
  28       -7.89172        7.89163          0             -0.05523
  29       -7.51196        7.51211          0             -0.06043
  30       -5.49928        5.49933          0             -0.04337
  31       -5.47318        5.47315          0             -0.04306
  32       -5.26550        5.26555          0             -0.06391
  33      -14.80142       14.80140          0             -0.13364
  34      -17.93857       17.93862          1              0.39188
  35      -10.66174       10.66159          0             -0.05336
  36       -9.73963        9.73958          0             -0.05070
