-286.0895088994    -285.9421328537    -285.9097544071    -285.8628532418    
-286.0881046040    -285.9421332866    -285.9108403799    -285.8602472880    
-286.0882919299    -285.9422017832    -285.9088332007    -285.8597388098    
-286.0894651681    -285.9422073403    -285.9118859507    -285.8634807573    
-286.0890838188    -285.9421525108    -285.9106591057    -285.8612707303    
-286.0885615527    -285.9421595994    -285.9099883278    -285.8618487431    
-286.0888997696    -285.9422330520    -285.9103860995    -285.8616787688    
-286.0889275863    -285.9422357580    -285.9104119520    -285.8616303898    
-286.0888667594    -285.9422331630    -285.9103887131    -285.8616493625    
-286.0889598047    -285.9422351729    -285.9104090354    -285.8616584706    
-286.0888223176    -285.9422318348    -285.9103328767    -285.8616624000    
-286.0890021565    -285.9422342258    -285.9104624990    -285.8616436858    
-286.0878332472    -285.9421965872    -285.9096372722    -285.8613051415    
-286.0899080533    -285.9422017990    -285.9110800127    -285.8619211185    
-286.0894165612    -285.9419840100    -285.9096512086    -285.8630151475    
-286.0878811546    -285.9419737059    -285.9106616143    -285.8597780723    
-286.0892081373    -285.9419776695    -285.9097768330    -285.8625657770    
-286.0880810309    -285.9419668165    -285.9105107733    -285.8602028704    
-286.0889859637    -285.9422898506    -285.9104863090    -285.8617286550    
-286.0889517085    -285.9422896816    -285.9104218488    -285.8616908842    
-286.0889862526    -285.9422897981    -285.9104616144    -285.8617077857    
-286.0889515247    -285.9422899822    -285.9104469957    -285.8617116377    
-286.0889078147    -285.9422379774    -285.9103877664    -285.8616286442    
-286.0889090262    -285.9422376971    -285.9103869287    -285.8616410463    
-286.0888919511    -285.9422137879    -285.9103687983    -285.8616344964    
-286.0888903327    -285.9422137788    -285.9103675016    -285.8616341418    
-286.0889148209    -285.9422339859    -285.9103902276    -285.8616594569    
-286.0889222221    -285.9422340234    -285.9103999429    -285.8616562784    
-286.0889142248    -285.9422344786    -285.9103998015    -285.8616540703    
-286.0889129810    -285.9422344852    -285.9103986284    -285.8616543600    
-286.0889125354    -285.9422334124    -285.9103977149    -285.8616529839    
-286.0889130698    -285.9422335087    -285.9103988253    -285.8616539269    
-286.0889484214    -285.9422675819    -285.9104402564    -285.8616850419    
-286.0889407338    -285.9422675458    -285.9104337285    -285.8616853548    
-286.0889759907    -285.9422970564    -285.9104615627    -285.8617170573    
-286.0889759054    -285.9422970266    -285.9104614347    -285.8617169167    
-286.0889708269    -285.9422903803    -285.9104561853    -285.8617105122    
-286.0889680839    -285.9422903798    -285.9104531910    -285.8617102566    
-286.0889692938    -285.9422905524    -285.9104547568    -285.8617106337    
-286.0889698446    -285.9422904651    -285.9104551852    -285.8617101019    
-286.0889520133    -285.9422922765    -285.9104402508    -285.8617073105    
-286.0889881590    -285.9422923295    -285.9104728914    -285.8617155820    
-286.0901350301    -285.9430235243    -285.9115995652    -285.8626617936    
-286.0877359002    -285.9415106944    -285.9092411018    -285.8607041245    
-286.0892692126    -285.9422286919    -285.9107184887    -285.8618275355    
-286.0885409379    -285.9422327917    -285.9100609239    -285.8614701800    
-286.0889961927    -285.9422925855    -285.9105026531    -285.8617050056    
-286.0889461357    -285.9422921779    -285.9104110704    -285.8617190477    
-286.0889762076    -285.9422926736    -285.9104830409    -285.8616972556    
-286.0889658948    -285.9422920256    -285.9104303705    -285.8617268027    
-286.0889744409    -285.9422986129    -285.9104631330    -285.8617163571    
-286.0889615616    -285.9422827417    -285.9104514106    -285.8617021037    
-286.0889578736    -285.9422779688    -285.9104539916    -285.8617043701    
-286.0889640033    -285.9422819038    -285.9104578954    -285.8617114232    
-286.0889706274    -285.9422945148    -285.9104600439    -285.8617161558    
-286.0889530391    -285.9422771162    -285.9104497534    -285.8616907465    
-286.0889601884    -285.9422852630    -285.9104625056    -285.8617023157    
-286.0889579913    -285.9422784001    -285.9104567145    -285.8616995975    
-286.0889637473    -285.9422843520    -285.9104629267    -285.8617062861    
-286.0889831000    -285.9423020762    -285.9104682191    -285.8617232728    
-286.0889830968    -285.9423020128    -285.9104680838    -285.8617232194    
