Contour value = 1
66355200 = number of vibrational basis functions from initial-state totally symemtric irreducible
2123366400 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       11.48073       39.64267          4              3.29653
   2       -9.31204       13.50359          1              0.23091
   3      -33.33734      -12.55775          5              4.05359
   4      -11.26269        9.03078          1              0.11422
   5      -12.03960        7.76380          1              0.22250
   6       -0.42712       18.16093          2              1.36398
   7      -14.28408        4.00629          1              0.79057
   8      -10.33467        6.10062          1              0.27791
   9      -16.90453       -0.90243          2              1.64493
  10       -5.57745        6.00250          1              0.04214
  11       -5.38627        6.14452          1              0.07355
  12       -6.31692        5.16058          1              0.11367
  13       -3.28954        8.02711          1              0.49836
  14      -21.52469       20.82428          0             -0.11203
  15      -17.74172        9.95419          1              0.15826
  16       36.42911       54.71502          9              8.71049
  17       -2.63121       22.24858          2              1.03079
  18       -8.64719       14.43407          1              0.29506
  19      -11.32878       10.15655          1              0.07397
  20       -9.81594       10.53633          1              0.04025
  21      -16.62772       16.62770          0             -0.01244
  22      -12.85858       12.85838          0             -0.01074
  23       -9.68791        9.68791          0             -0.06133
  24       -9.58371        9.58376          0             -0.02313
  25       -9.39625        9.39640          1              0.00681
  26       -9.03965        9.03958          1              0.03109
  27       -8.63276        8.63275          0             -0.00781
  28       -8.30529        8.30520          0             -0.00730
  29       -7.90381        7.90396          0             -0.01318
  30       -5.78873        5.78878          1              0.00596
  31       -5.76118        5.76115          1              0.00629
  32       -5.54393        5.54397          0             -0.01668
  33      -15.59298       15.59296          0             -0.09382
  34      -18.83047       18.83052          1              0.48537
  35      -11.22603       11.22588          0             -0.00483
  36      -10.25089       10.25085          0             -0.00224
