Contour value = 0.91
737280 = number of vibrational basis functions from initial-state totally symemtric irreducible
737280 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -39.02320      -13.50085          4              3.02787
   2      -27.75078       -8.51965          3              2.14538
   3      -16.64897        3.85509          1              0.62424
   4      -10.60319        7.70429          1              0.04455
   5       -3.43216       14.81044          1              0.58179
   6      -14.93934        1.97434          1              0.71545
   7      -15.04300        1.57033          1              0.92706
   8       -8.66793        6.28870          1              0.03841
   9      -17.57096       -2.98894          2              1.90403
  10       -5.09026        5.44856          0             -0.05394
  11       -4.73123        5.76686          1              0.00319
  12       -6.42790        4.00480          1              0.13233
  13       -7.59583        2.71024          1              0.40039
  14      -19.27923       18.53498          0             -0.17461
  15       38.53054       55.20618          5              4.87806
  16       -9.26544       15.80027          1              0.01224
  17       -9.68226       14.16965          1              0.08261
  18      -10.15760       10.90196          0             -0.08854
  19       -9.22404       10.13253          0             -0.08834
  20       -9.70131        9.07868          0             -0.08608
  21       -9.91218        9.91220          0             -0.91572
  22      -13.81317       13.81315          0             -0.02773
  23      -11.68927       11.68907          0             -0.09728
  24       -8.69170        8.69173          0             -0.12167
  25       -8.58780        8.58781          0             -0.10504
  26       -8.58599        8.58579          0             -0.06007
  27       -7.63648        7.63661          0             -0.08604
  28       -8.05743        8.05742          0             -0.02992
  29       -7.62042        7.62046          0             -0.04226
  30       -5.32781        5.32777          0             -0.07207
  31       -5.30268        5.30273          0             -0.07527
  32       -5.05208        5.05212          0             -0.08940
  33      -16.57179       16.57187          0             -1.12176
  34      -14.10664       14.10662          0             -0.22146
  35      -10.23166       10.23152          0             -0.15521
  36      -10.45559       10.45555          0             -0.05284
