Ground state energy = 26623.61 cm^-1
Max intensity = 0.039308
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
     1          0.00    0.00000e+00    0.0068875    0.0000474    0.00120682    1.213061104424727e-01
     2        219.38    0.00000e+00    0.0020023    0.0000040    0.00010199    1.223056764299757e-01
     3        247.62    0.00000e+00    0.1178581    0.0138905    0.35337668    1.224343712854999e-01
     4        378.60    0.00000e+00    0.0119107    0.0001419    0.00360905    1.230311319656026e-01
     5        530.10    0.00000e+00    0.0054165    0.0000293    0.00074637    1.237214456681879e-01
     6        749.42    0.00000e+00    0.0013323    0.0000018    0.00004515    1.247207140722073e-01
     7        777.67    0.00000e+00    0.0977073    0.0095467    0.24286949    1.248494358106406e-01
     8        879.59    0.00000e+00    0.0003937    0.0000002    0.00000394    1.253138363144611e-01
     9        898.12    0.00000e+00    0.0047760    0.0000228    0.00058029    1.253982587304043e-01
    10        908.70    0.00000e+00    0.0101256    0.0001025    0.00260832    1.254464485574984e-01
    12       1060.16    0.00000e+00    0.0029076    0.0000085    0.00021507    1.261365553258186e-01
    13       1062.61    0.00000e+00    0.0009687    0.0000009    0.00002387    1.261477255211788e-01
    14       1093.97    0.00000e+00    0.0010349    0.0000011    0.00002725    1.262906262328584e-01
    15       1098.96    0.00000e+00    0.0005157    0.0000003    0.00000677    1.263133596015050e-01
    16       1117.44    0.00000e+00    0.0004813    0.0000002    0.00000589    1.263975594093948e-01
    17       1127.18    0.00000e+00    0.0016273    0.0000026    0.00006737    1.264419295725449e-01
    18       1145.57    0.00000e+00    0.0970888    0.0094262    0.23980433    1.265257062868802e-01
    20       1233.98    0.00000e+00    0.0032558    0.0000106    0.00026968    1.269285308979228e-01
    21       1236.76    0.00000e+00    0.0008190    0.0000007    0.00001706    1.269412068241514e-01
    22       1239.89    0.00000e+00    0.0027268    0.0000074    0.00018915    1.269554860605289e-01
    23       1258.22    0.00000e+00    0.0005302    0.0000003    0.00000715    1.270389628255498e-01
    24       1276.68    0.00000e+00    0.0105164    0.0001106    0.00281354    1.271231033839767e-01
    25       1279.50    0.00000e+00    0.0005676    0.0000003    0.00000820    1.271359567549684e-01
    26       1281.95    0.00000e+00    0.0005243    0.0000003    0.00000699    1.271471257051812e-01
    27       1307.71    0.00000e+00    0.0555928    0.0030906    0.07862423    1.272644797389129e-01
    28       1310.16    0.00000e+00    0.0125582    0.0001577    0.00401209    1.272756495792191e-01
    29       1313.34    0.00000e+00    0.0003233    0.0000001    0.00000266    1.272901152027767e-01
    30       1341.55    0.00000e+00    0.0166073    0.0002758    0.00701643    1.274186453411729e-01
    31       1364.31    0.00000e+00    0.0003211    0.0000001    0.00000262    1.275223845819850e-01
    32       1382.78    0.00000e+00    0.0056503    0.0000319    0.00081221    1.276065412617282e-01
    33       1388.34    0.00000e+00    0.0018193    0.0000033    0.00008420    1.276318428972046e-01
    36       1428.17    0.00000e+00    0.0037726    0.0000142    0.00036207    1.278133291903401e-01
    37       1438.76    0.00000e+00    0.0059500    0.0000354    0.00090064    1.278616011899003e-01
    38       1440.50    0.00000e+00    0.0210837    0.0004445    0.01130865    1.278695127103417e-01
    39       1441.21    0.00000e+00    0.0010417    0.0000011    0.00002760    1.278727495696625e-01
    41       1459.24    0.00000e+00    0.0006132    0.0000004    0.00000957    1.279549001038710e-01
    42       1472.59    0.00000e+00    0.0016376    0.0000027    0.00006823    1.280157302287264e-01
    43       1474.92    0.00000e+00    0.0006114    0.0000004    0.00000951    1.280263214094357e-01
    44       1483.65    0.00000e+00    0.0150233    0.0002257    0.00574185    1.280661197833515e-01
    45       1487.41    0.00000e+00    0.0489823    0.0023993    0.06103755    1.280832438296007e-01
    46       1515.41    0.00000e+00    0.0004865    0.0000002    0.00000602    1.282108074854965e-01
    48       1544.99    0.00000e+00    0.0053443    0.0000286    0.00072660    1.283456138556824e-01
    49       1590.27    0.00000e+00    0.0012255    0.0000015    0.00003821    1.285519200539739e-01
    50       1592.67    0.00000e+00    0.0008384    0.0000007    0.00001788    1.285628723661246e-01
    51       1598.51    0.00000e+00    0.0009804    0.0000010    0.00002445    1.285894478440137e-01
    52       1607.69    0.00000e+00    0.0005011    0.0000003    0.00000639    1.286313064972261e-01
    53       1615.39    0.00000e+00    0.0015016    0.0000023    0.00005736    1.286663689560999e-01
    54       1618.48    0.00000e+00    0.0050294    0.0000253    0.00064350    1.286804556436693e-01
    55       1624.05    0.00000e+00    0.0008129    0.0000007    0.00001681    1.287058443896692e-01
    56       1629.03    0.00000e+00    0.0003854    0.0000001    0.00000378    1.287285020320562e-01
    57       1632.39    0.00000e+00    0.0004102    0.0000002    0.00000428    1.287438284660076e-01
    58       1635.93    0.00000e+00    0.0305024    0.0009304    0.02366935    1.287599547531611e-01
    59       1642.95    0.00000e+00    0.0033523    0.0000112    0.00028589    1.287919601132270e-01
    61       1652.75    0.00000e+00    0.0014602    0.0000021    0.00005424    1.288366059218376e-01
    62       1654.22    0.00000e+00    0.0170773    0.0002916    0.00741919    1.288432957659395e-01
    63       1657.21    0.00000e+00    0.0021893    0.0000048    0.00012193    1.288569173031136e-01
    65       1675.59    0.00000e+00    0.0803029    0.0064486    0.16405191    1.289406436618172e-01
    67       1722.65    0.00000e+00    0.0114315    0.0001307    0.00332451    1.291550894228373e-01
    69       1739.95    0.00000e+00    0.1965203    0.0386202    0.98250186    1.292338875044159e-01
    70       1762.46    0.00000e+00    0.0003988    0.0000002    0.00000405    1.293364727664849e-01
    71       1764.08    0.00000e+00    0.0030636    0.0000094    0.00023876    1.293438429068043e-01
    72       1766.81    0.00000e+00    0.0007023    0.0000005    0.00001255    1.293562758535934e-01
    73       1766.95    0.00000e+00    0.0032729    0.0000107    0.00027250    1.293569337702974e-01
    74       1769.96    0.00000e+00    0.0021359    0.0000046    0.00011606    1.293706368070274e-01
    75       1777.66    0.00000e+00    0.0003452    0.0000001    0.00000303    1.294057393651740e-01
    76       1788.28    0.00000e+00    0.0006018    0.0000004    0.00000921    1.294541223439974e-01
    77       1791.56    0.00000e+00    0.0011538    0.0000013    0.00003387    1.294690495070182e-01
    78       1796.02    0.00000e+00    0.0018863    0.0000036    0.00009052    1.294893810521695e-01
    79       1806.72    0.00000e+00    0.0089753    0.0000806    0.00204934    1.295381319502170e-01
    81       1812.02    0.00000e+00    0.0004107    0.0000002    0.00000429    1.295622709727197e-01
    82       1817.85    0.00000e+00    0.0003313    0.0000001    0.00000279    1.295888569783216e-01
    83       1823.59    0.00000e+00    0.0607078    0.0036854    0.09375796    1.296150001892105e-01
    84       1837.79    0.00000e+00    0.0250699    0.0006285    0.01598913    1.296797072654426e-01
    85       1840.20    0.00000e+00    0.0118704    0.0001409    0.00358468    1.296906865303705e-01
    87       1846.08    0.00000e+00    0.0166721    0.0002780    0.00707126    1.297174854245378e-01
    88       1853.42    0.00000e+00    0.0009060    0.0000008    0.00002088    1.297509371343115e-01
    89       1862.08    0.00000e+00    0.0008955    0.0000008    0.00002040    1.297903611469630e-01
    91       1871.61    0.00000e+00    0.0136528    0.0001864    0.00474203    1.298338129417252e-01
    94       1889.76    0.00000e+00    0.0579184    0.0033545    0.08533993    1.299164794578140e-01
    96       1900.39    0.00000e+00    0.0261132    0.0006819    0.01734758    1.299649272539156e-01
    97       1902.11    0.00000e+00    0.0009367    0.0000009    0.00002232    1.299727623149522e-01
    98       1912.82    0.00000e+00    0.0046011    0.0000212    0.00053858    1.300215551226055e-01
    99       1918.42    0.00000e+00    0.0015843    0.0000025    0.00006385    1.300470706202249e-01
   103       1958.21    0.00000e+00    0.0020386    0.0000042    0.00010572    1.302283535613376e-01
   104       1960.68    0.00000e+00    0.0007657    0.0000006    0.00001492    1.302396322781290e-01
   105       1968.86    0.00000e+00    0.0027361    0.0000075    0.00019045    1.302769040839121e-01
   106       1970.52    0.00000e+00    0.0167850    0.0002817    0.00716738    1.302844452833176e-01
   107       1971.26    0.00000e+00    0.0010516    0.0000011    0.00002814    1.302878472523849e-01
   109       1977.11    0.00000e+00    0.0016760    0.0000028    0.00007146    1.303144846212465e-01
   111       1989.30    0.00000e+00    0.0003709    0.0000001    0.00000350    1.303700313987370e-01
   112       1992.08    0.00000e+00    0.0007539    0.0000006    0.00001446    1.303826786360524e-01
   113       1996.98    0.00000e+00    0.0003982    0.0000002    0.00000403    1.304050126414731e-01
   114       2002.65    0.00000e+00    0.0013935    0.0000019    0.00004940    1.304308728965179e-01
   115       2004.93    0.00000e+00    0.0004959    0.0000002    0.00000626    1.304412410487152e-01
   116       2013.62    0.00000e+00    0.0129128    0.0001667    0.00424186    1.304808167671937e-01
   117       2015.29    0.00000e+00    0.0004045    0.0000002    0.00000416    1.304884553870269e-01
   118       2017.46    0.00000e+00    0.0404594    0.0016370    0.04164447    1.304983244620496e-01
   119       2021.23    0.00000e+00    0.0057891    0.0000335    0.00085259    1.305154976319774e-01
   120       2025.06    0.00000e+00    0.0003166    0.0000001    0.00000255    1.305329456726898e-01
   121       2031.35    0.00000e+00    0.0027342    0.0000075    0.00019019    1.305616258021600e-01
   122       2043.28    0.00000e+00    0.0484499    0.0023474    0.05971784    1.306159956877272e-01
   123       2045.47    0.00000e+00    0.0004013    0.0000002    0.00000410    1.306259474964843e-01
   126       2075.03    0.00000e+00    0.0043700    0.0000191    0.00048582    1.307606408121725e-01
   134       2122.74    0.00000e+00    0.0005128    0.0000003    0.00000669    1.309780405587307e-01
   135       2126.82    0.00000e+00    0.0003938    0.0000002    0.00000395    1.309966046374199e-01
   136       2128.58    0.00000e+00    0.0007815    0.0000006    0.00001554    1.310046244404474e-01
   137       2132.21    0.00000e+00    0.0027677    0.0000077    0.00019488    1.310211800719555e-01
   138       2135.16    0.00000e+00    0.0007744    0.0000006    0.00001526    1.310346040340768e-01
   139       2137.75    0.00000e+00    0.0003496    0.0000001    0.00000311    1.310464278838096e-01
   140       2137.96    0.00000e+00    0.0018889    0.0000036    0.00009077    1.310473600771441e-01
   141       2145.42    0.00000e+00    0.0013146    0.0000017    0.00004397    1.310813433602381e-01
   142       2148.11    0.00000e+00    0.0018286    0.0000033    0.00008507    1.310936348385549e-01
   143       2148.55    0.00000e+00    0.0042797    0.0000183    0.00046597    1.310956041210334e-01
   144       2154.13    0.00000e+00    0.0004368    0.0000002    0.00000485    1.311210406168710e-01
   149       2162.46    0.00000e+00    0.0003386    0.0000001    0.00000292    1.311590022026591e-01
   150       2165.99    0.00000e+00    0.0279236    0.0007797    0.01983634    1.311750829897632e-01
   151       2172.89    0.00000e+00    0.0026253    0.0000069    0.00017534    1.312065274626324e-01
   152       2174.53    0.00000e+00    0.0056454    0.0000319    0.00081080    1.312139776888236e-01
   154       2179.99    0.00000e+00    0.0003362    0.0000001    0.00000288    1.312388679003416e-01
   155       2182.85    0.00000e+00    0.0011608    0.0000013    0.00003428    1.312519027094043e-01
   156       2184.22    0.00000e+00    0.0133593    0.0001785    0.00454033    1.312581619741848e-01
   157       2187.25    0.00000e+00    0.0017996    0.0000032    0.00008239    1.312719380194063e-01
   158       2189.68    0.00000e+00    0.0010540    0.0000011    0.00002826    1.312830400079448e-01
   159       2189.80    0.00000e+00    0.0005934    0.0000004    0.00000896    1.312835721052348e-01
   161       2205.59    0.00000e+00    0.0457463    0.0020927    0.05323907    1.313555109520290e-01
   162       2208.06    0.00000e+00    0.0113898    0.0001297    0.00330030    1.313667806622446e-01
   167       2239.52    0.00000e+00    0.0142544    0.0002032    0.00516914    1.315101039534488e-01
   169       2252.59    0.00000e+00    0.0092518    0.0000856    0.00217758    1.315696883852221e-01
   175       2269.88    0.00000e+00    0.1660675    0.0275784    0.70159765    1.316484293114387e-01
   176       2280.49    0.00000e+00    0.0004270    0.0000002    0.00000464    1.316967988724821e-01
   177       2280.61    0.00000e+00    0.0044200    0.0000195    0.00049700    1.316973485303868e-01
   178       2286.45    0.00000e+00    0.0012504    0.0000016    0.00003977    1.317239585910109e-01
   181       2294.17    0.00000e+00    0.0020471    0.0000042    0.00010660    1.317591294609738e-01
   182       2296.48    0.00000e+00    0.0007182    0.0000005    0.00001312    1.317696376587499e-01
   183       2296.83    0.00000e+00    0.0003837    0.0000001    0.00000375    1.317712573577517e-01
   184       2297.03    0.00000e+00    0.0030558    0.0000093    0.00023756    1.317721364414349e-01
   187       2300.03    0.00000e+00    0.0011361    0.0000013    0.00003283    1.317858174883565e-01
   188       2302.45    0.00000e+00    0.0003358    0.0000001    0.00000287    1.317968343135426e-01
   190       2311.38    0.00000e+00    0.0003443    0.0000001    0.00000302    1.318375243467452e-01
   191       2318.34    0.00000e+00    0.0004573    0.0000002    0.00000532    1.318692292046040e-01
   194       2321.62    0.00000e+00    0.0010166    0.0000010    0.00002629    1.318842135447289e-01
   195       2326.01    0.00000e+00    0.0015255    0.0000023    0.00005920    1.319042079968610e-01
   196       2327.96    0.00000e+00    0.0004062    0.0000002    0.00000420    1.319130616457827e-01
   198       2333.86    0.00000e+00    0.0003356    0.0000001    0.00000287    1.319399442750137e-01
   200       2336.75    0.00000e+00    0.0052584    0.0000277    0.00070345    1.319531102117863e-01
   201       2338.17    0.00000e+00    0.0177057    0.0003135    0.00797524    1.319595989668352e-01
   203       2339.23    0.00000e+00    0.0011410    0.0000013    0.00003312    1.319644209147584e-01
   208       2353.58    0.00000e+00    0.0521672    0.0027214    0.06923302    1.320298276573800e-01
   212       2363.06    0.00000e+00    0.0010558    0.0000011    0.00002836    1.320729897108294e-01
   213       2366.92    0.00000e+00    0.0016775    0.0000028    0.00007159    1.320905761970770e-01
   215       2370.24    0.00000e+00    0.0083020    0.0000689    0.00175341    1.321057029215209e-01
   216       2370.64    0.00000e+00    0.0015190    0.0000023    0.00005870    1.321075580352155e-01
   217       2372.66    0.00000e+00    0.0004952    0.0000002    0.00000624    1.321167683426509e-01
   220       2374.31    0.00000e+00    0.0087255    0.0000761    0.00193687    1.321242660518564e-01
   222       2376.14    0.00000e+00    0.0141050    0.0001990    0.00506135    1.321325855370223e-01
   223       2381.71    0.00000e+00    0.0164104    0.0002693    0.00685104    1.321579745186844e-01
   224       2383.42    0.00000e+00    0.0008532    0.0000007    0.00001852    1.321657818640612e-01
   225       2385.32    0.00000e+00    0.0398929    0.0015914    0.04048653    1.321744118655012e-01
   226       2392.02    0.00000e+00    0.0005892    0.0000003    0.00000883    1.322049358679135e-01
   229       2401.66    0.00000e+00    0.0076840    0.0000590    0.00150207    1.322488698915146e-01
   231       2404.10    0.00000e+00    0.0014313    0.0000020    0.00005212    1.322600121656765e-01
   232       2413.35    0.00000e+00    0.0003933    0.0000002    0.00000393    1.323021506540594e-01
   234       2419.61    0.00000e+00    0.0476659    0.0022720    0.05780092    1.323306814089587e-01
   238       2428.07    0.00000e+00    0.0005772    0.0000003    0.00000848    1.323692225860191e-01
   239       2430.43    0.00000e+00    0.0219640    0.0004824    0.01227269    1.323799584016845e-01
   240       2432.07    0.00000e+00    0.0008369    0.0000007    0.00001782    1.323874270891272e-01
   241       2442.80    0.00000e+00    0.0046864    0.0000220    0.00055872    1.324363227945534e-01
   242       2442.85    0.00000e+00    0.0025311    0.0000064    0.00016298    1.324365396308688e-01
   244       2445.30    0.00000e+00    0.0006953    0.0000005    0.00001230    1.324477233761577e-01
   245       2448.49    0.00000e+00    0.0009383    0.0000009    0.00002240    1.324622714655642e-01
   251       2473.34    0.00000e+00    0.0018837    0.0000035    0.00009027    1.325754682194467e-01
   254       2476.72    0.00000e+00    0.0008024    0.0000006    0.00001638    1.325908986712900e-01
   256       2480.62    0.00000e+00    0.0007345    0.0000005    0.00001372    1.326086287035150e-01
   259       2488.27    0.00000e+00    0.0008738    0.0000008    0.00001942    1.326434890262191e-01
   260       2490.71    0.00000e+00    0.0006609    0.0000004    0.00001111    1.326546107987193e-01
   262       2496.61    0.00000e+00    0.0006538    0.0000004    0.00001087    1.326815061547610e-01
   264       2500.52    0.00000e+00    0.0091378    0.0000835    0.00212422    1.326993162091851e-01
