Contour value = 0.8
230400 = number of vibrational basis functions from initial-state totally symemtric irreducible
460800 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       14.29692       36.82648          3              2.77628
   2       -7.03048       11.22203          1              0.00479
   3      -31.25938      -14.63571          4              3.50362
   4       -9.23334        7.00143          0             -0.08718
   5      -10.05926        5.78346          1              0.00437
   6        1.43169       16.30212          2              1.00194
   7      -12.45505        2.17725          1              0.48122
   8       -8.69114        4.45709          1              0.05016
   9      -15.30432       -2.50264          2              1.25807
  10       -4.41945        4.84450          0             -0.14686
  11       -4.23319        4.99145          0             -0.12152
  12       -5.16917        4.01283          0             -0.08908
  13       -2.15788        6.89544          1              0.23670
  14      -17.28979       16.58938          0             -0.24968
  15      -14.97213        7.18460          0             -0.03122
  16       38.25770       52.88643          9              8.10514
  17       -0.14323       19.76060          1              0.70757
  18       -6.33906       12.12595          1              0.06111
  19       -9.18025        8.00802          0             -0.12309
  20       -7.78072        8.50110          0             -0.14830
  21      -13.30218       13.30215          0             -0.18796
  22      -10.28688       10.28668          0             -0.18687
  23       -7.75033        7.75032          0             -0.21925
  24       -7.66696        7.66701          0             -0.19480
  25       -7.51698        7.51713          0             -0.17564
  26       -7.23173        7.23166          0             -0.16010
  27       -6.90621        6.90620          0             -0.18500
  28       -6.64424        6.64415          0             -0.18467
  29       -6.32303        6.32318          0             -0.18843
  30       -4.63098        4.63103          0             -0.17619
  31       -4.60894        4.60891          0             -0.17597
  32       -4.43514        4.43518          0             -0.19068
  33      -12.47439       12.47437          0             -0.24004
  34      -15.06437       15.06442          1              0.13064
  35       -8.98084        8.98069          0             -0.18309
  36       -8.20072        8.20068          0             -0.18143
