Ground state energy = 26165.01 cm^-1
Max intensity = 0.036243
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
     1          0.00    0.00000e+00    0.0526680    0.0027739    0.07653562    1.192165866309909e-01
     2        530.07    0.00000e+00    0.0433209    0.0018767    0.05178028    1.216317665315075e-01
     3        879.61    0.00000e+00    0.0007312    0.0000005    0.00001475    1.232243901002656e-01
     4        898.20    0.00000e+00    0.0394419    0.0015557    0.04292258    1.233090652808311e-01
     5        985.48    0.00000e+00    0.0013050    0.0000017    0.00004699    1.237067642932720e-01
     6       1060.20    0.00000e+00    0.0243301    0.0005920    0.01633274    1.240472237863745e-01
     7       1093.97    0.00000e+00    0.0076845    0.0000591    0.00162930    1.242010734685517e-01
     8       1136.87    0.00000e+00    0.0023696    0.0000056    0.00015493    1.243965306204224e-01
     9       1165.17    0.00000e+00    0.0147733    0.0002183    0.00602181    1.245254737492165e-01
    10       1236.73    0.00000e+00    0.0050317    0.0000253    0.00069855    1.248515272608699e-01
    11       1239.92    0.00000e+00    0.0216395    0.0004683    0.01292010    1.248660701858922e-01
    12       1296.13    0.00000e+00    0.0020383    0.0000042    0.00011463    1.251221763280173e-01
    13       1382.80    0.00000e+00    0.0093141    0.0000868    0.00239361    1.255170854805646e-01
    14       1388.32    0.00000e+00    0.0138505    0.0001918    0.00529300    1.255422580052795e-01
    16       1412.92    0.00000e+00    0.0022505    0.0000051    0.00013974    1.256543105193182e-01
    17       1428.27    0.00000e+00    0.0326688    0.0010673    0.02944676    1.257242463795260e-01
    18       1440.57    0.00000e+00    0.1768751    0.0312848    0.86318443    1.257803290131063e-01
    19       1475.08    0.00000e+00    0.0037559    0.0000141    0.00038922    1.259375493310830e-01
    21       1515.61    0.00000e+00    0.0011108    0.0000012    0.00003404    1.261222111698205e-01
    22       1545.01    0.00000e+00    0.0331151    0.0010966    0.03025671    1.262561699436992e-01
    23       1595.48    0.00000e+00    0.0103545    0.0001072    0.00295823    1.264861346738796e-01
    24       1598.49    0.00000e+00    0.0072966    0.0000532    0.00146896    1.264998537346451e-01
