-286.0929533540    -285.9438983365    -285.9144455744    -285.8645111461    
-286.0885626388    -285.9395929133    -285.9101299561    -285.8602044134    
-286.0812871033    -285.9323257739    -285.9029087297    -285.8529571255    
-286.0710441240    -285.9219929828    -285.8926951571    -285.8426962627    
-286.0577363354    -285.9084730544    -285.8793861289    -285.8293357540    
-286.0412527202    -285.8916283520    -285.8628641712    -285.8127786334    
-286.0214790091    -285.8713145675    -285.8430067472    -285.7929274512    
-285.9983058313    -285.8473879517    -285.8196947011    -285.7696920143    
-285.9716426709    -285.8197176715    -285.7928261085    -285.7430019044    
-285.9414363918    -285.7882025703    -285.7623350148    -285.7128220725    
-286.0932952990    -285.9439111550    -285.9145898308    -285.8644819666    
-286.0892944262    -285.9396952691    -285.9104733367    -285.8601732714    
-286.0825056903    -285.9326721970    -285.9035625092    -285.8529775598    
-286.0728997668    -285.9228197918    -285.8938318393    -285.8428481841    
-286.0604338301    -285.9100996769    -285.8812425574    -285.8297208841    
-286.0450572942    -285.8944629791    -285.8657483279    -285.8135188831    
-286.0267180228    -285.8758564355    -285.8473012363    -285.7941583851    
-286.0053697845    -285.8542294260    -285.8258587169    -285.7715552193    
-285.9809828649    -285.8295439837    -285.8013930714    -285.7456345122    
-285.9535590581    -285.8017892047    -285.7739047049    -285.7202270616    
