Ground state energy = 26989.37 cm^-1
Max intensity = 0.003227
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized intensity
   720       2906.21       0.000000     0.002722     0.000007     0.002297
   721       2906.90       0.000000     0.016959     0.000288     0.089123
   723       2909.83       0.000000     0.004864     0.000024     0.007332
   727       2915.88       0.000000     0.013569     0.000184     0.057053
   728       2916.93       0.000000     0.005244     0.000028     0.008522
   732       2922.24       0.000000     0.001328     0.000002     0.000547
   740       2936.62       0.000000     0.001889     0.000004     0.001106
   741       2937.08       0.000000     0.020115     0.000405     0.125371
   742       2937.85       0.000000     0.002315     0.000005     0.001661
   743       2939.79       0.000000     0.001778     0.000003     0.000979
   744       2940.14       0.000000     0.001179     0.000001     0.000431
   745       2940.77       0.000000     0.001422     0.000002     0.000627
   746       2944.19       0.000000     0.001820     0.000003     0.001026
   749       2947.67       0.000000     0.001410     0.000002     0.000616
   757       2961.99       0.000000     0.001616     0.000003     0.000809
   760       2965.60       0.000000     0.001388     0.000002     0.000597
   763       2970.10       0.000000     0.005534     0.000031     0.009488
   768       2978.03       0.000000     0.007806     0.000061     0.018879
   770       2980.31       0.000000     0.001709     0.000003     0.000905
   771       2982.36       0.000000     0.001246     0.000002     0.000481
   775       2989.07       0.000000     0.002462     0.000006     0.001878
   776       2989.86       0.000000     0.001259     0.000002     0.000491
   778       2992.89       0.000000     0.001211     0.000001     0.000454
   785       3005.08       0.000000     0.001066     0.000001     0.000352
   787       3008.27       0.000000     0.002425     0.000006     0.001822
   790       3012.25       0.000000     0.007422     0.000055     0.017071
   794       3021.17       0.000000     0.007137     0.000051     0.015781
   796       3022.97       0.000000     0.001903     0.000004     0.001122
   797       3024.98       0.000000     0.004264     0.000018     0.005635
   798       3025.22       0.000000     0.003418     0.000012     0.003620
   799       3027.38       0.000000     0.002372     0.000006     0.001743
   804       3036.97       0.000000     0.001743     0.000003     0.000942
   805       3038.25       0.000000     0.008532     0.000073     0.022557
   806       3039.19       0.000000     0.001202     0.000001     0.000448
   807       3041.18       0.000000     0.001628     0.000003     0.000821
   809       3044.76       0.000000     0.001006     0.000001     0.000313
   811       3046.66       0.000000     0.002795     0.000008     0.002420
   814       3052.41       0.000000     0.002328     0.000005     0.001680
   815       3055.13       0.000000     0.001049     0.000001     0.000341
   818       3061.14       0.000000     0.002170     0.000005     0.001459
   819       3063.40       0.000000     0.001492     0.000002     0.000689
   820       3063.80       0.000000     0.003063     0.000009     0.002906
   821       3064.13       0.000000     0.006136     0.000038     0.011668
   824       3072.07       0.000000     0.001601     0.000003     0.000794
   825       3072.97       0.000000     0.002901     0.000008     0.002608
   830       3081.83       0.000000     0.002219     0.000005     0.001526
   831       3084.34       0.000000     0.014802     0.000219     0.067892
   832       3085.11       0.000000     0.005027     0.000025     0.007829
   833       3085.58       0.000000     0.001711     0.000003     0.000907
   842       3105.35       0.000000     0.001026     0.000001     0.000326
   845       3110.06       0.000000     0.009484     0.000090     0.027872
   846       3110.57       0.000000     0.003247     0.000011     0.003267
   847       3112.44       0.000000     0.002171     0.000005     0.001460
   849       3116.38       0.000000     0.004073     0.000017     0.005141
   850       3118.67       0.000000     0.003132     0.000010     0.003040
   851       3120.34       0.000000     0.017010     0.000289     0.089656
   852       3120.61       0.000000     0.004510     0.000020     0.006302
   855       3127.46       0.000000     0.002259     0.000005     0.001582
   857       3131.50       0.000000     0.001097     0.000001     0.000373
   858       3132.05       0.000000     0.001358     0.000002     0.000571
   859       3133.90       0.000000     0.003414     0.000012     0.003611
   860       3137.40       0.000000     0.003788     0.000014     0.004446
   861       3137.56       0.000000     0.002681     0.000007     0.002226
   866       3147.83       0.000000     0.002965     0.000009     0.002724
   869       3154.88       0.000000     0.003161     0.000010     0.003097
   870       3155.53       0.000000     0.004885     0.000024     0.007393
   874       3163.48       0.000000     0.001636     0.000003     0.000829
   875       3165.49       0.000000     0.004931     0.000024     0.007533
   876       3166.54       0.000000     0.001232     0.000002     0.000470
   877       3167.90       0.000000     0.004499     0.000020     0.006273
   883       3181.34       0.000000     0.001471     0.000002     0.000671
   884       3182.93       0.000000     0.002848     0.000008     0.002513
   886       3185.91       0.000000     0.001329     0.000002     0.000547
   887       3188.09       0.000000     0.002910     0.000008     0.002624
   888       3190.27       0.000000     0.003782     0.000014     0.004431
   889       3191.07       0.000000     0.003338     0.000011     0.003453
   891       3195.68       0.000000     0.001225     0.000002     0.000465
   892       3197.40       0.000000     0.001447     0.000002     0.000649
   893       3198.83       0.000000     0.001408     0.000002     0.000614
   895       3204.17       0.000000     0.003750     0.000014     0.004357
   897       3208.57       0.000000     0.002605     0.000007     0.002103
   898       3208.96       0.000000     0.009171     0.000084     0.026062
   899       3211.60       0.000000     0.001008     0.000001     0.000315
   900       3213.52       0.000000     0.006833     0.000047     0.014468
   901       3215.69       0.000000     0.003772     0.000014     0.004408
   903       3219.24       0.000000     0.002829     0.000008     0.002480
   904       3220.30       0.000000     0.005457     0.000030     0.009228
   905       3222.72       0.000000     0.001108     0.000001     0.000380
   906       3224.97       0.000000     0.001818     0.000003     0.001025
   909       3231.88       0.000000     0.001990     0.000004     0.001228
   910       3232.35       0.000000     0.002217     0.000005     0.001523
   911       3234.27       0.000000     0.001716     0.000003     0.000913
   912       3235.82       0.000000     0.005972     0.000036     0.011051
   913       3240.78       0.000000     0.016463     0.000271     0.083976
   915       3243.37       0.000000     0.002570     0.000007     0.002047
   917       3248.43       0.000000     0.001111     0.000001     0.000383
   918       3250.27       0.000000     0.004876     0.000024     0.007366
   919       3253.01       0.000000     0.011721     0.000137     0.042566
   920       3253.29       0.000000     0.020684     0.000428     0.132570
   921       3255.64       0.000000     0.007954     0.000063     0.019601
   922       3256.89       0.000000     0.006255     0.000039     0.012122
   923       3257.87       0.000000     0.007518     0.000057     0.017515
   924       3261.39       0.000000     0.005482     0.000030     0.009311
   925       3262.98       0.000000     0.001169     0.000001     0.000424
   926       3263.86       0.000000     0.005396     0.000029     0.009023
   929       3273.18       0.000000     0.001045     0.000001     0.000338
   930       3274.21       0.000000     0.002373     0.000006     0.001745
   931       3277.03       0.000000     0.005517     0.000030     0.009431
   932       3277.67       0.000000     0.016288     0.000265     0.082203
   933       3280.40       0.000000     0.003995     0.000016     0.004946
   934       3281.31       0.000000     0.004675     0.000022     0.006772
   935       3282.85       0.000000     0.001045     0.000001     0.000338
   936       3286.62       0.000000     0.001040     0.000001     0.000335
   937       3288.09       0.000000     0.001667     0.000003     0.000861
   939       3293.63       0.000000     0.004245     0.000018     0.005583
   940       3294.09       0.000000     0.003188     0.000010     0.003150
   941       3296.54       0.000000     0.010284     0.000106     0.032773
   942       3298.81       0.000000     0.024252     0.000588     0.182239
   943       3300.75       0.000000     0.001523     0.000002     0.000719
   944       3303.10       0.000000     0.005437     0.000030     0.009159
   945       3303.85       0.000000     0.002665     0.000007     0.002200
   946       3305.89       0.000000     0.004493     0.000020     0.006254
   948       3311.80       0.000000     0.005266     0.000028     0.008594
   949       3313.60       0.000000     0.001054     0.000001     0.000344
   950       3316.81       0.000000     0.001696     0.000003     0.000891
   951       3318.16       0.000000     0.003379     0.000011     0.003537
   952       3320.59       0.000000     0.016746     0.000280     0.086898
   953       3321.49       0.000000     0.014629     0.000214     0.066313
   954       3322.87       0.000000     0.008018     0.000064     0.019918
   955       3324.87       0.000000     0.011916     0.000142     0.043994
   956       3326.32       0.000000     0.004855     0.000024     0.007303
   957       3329.70       0.000000     0.005055     0.000026     0.007917
   958       3330.26       0.000000     0.033141     0.001098     0.340329
   959       3334.78       0.000000     0.020049     0.000402     0.124552
   960       3336.08       0.000000     0.004251     0.000018     0.005598
   961       3337.38       0.000000     0.005093     0.000026     0.008037
   963       3344.18       0.000000     0.006729     0.000045     0.014031
   964       3346.36       0.000000     0.001589     0.000003     0.000782
   965       3348.19       0.000000     0.001827     0.000003     0.001034
   966       3349.29       0.000000     0.002178     0.000005     0.001470
   967       3351.45       0.000000     0.001089     0.000001     0.000367
   968       3352.94       0.000000     0.007715     0.000060     0.018445
   970       3357.87       0.000000     0.001731     0.000003     0.000928
   971       3361.20       0.000000     0.003589     0.000013     0.003991
   972       3362.19       0.000000     0.002552     0.000007     0.002018
   973       3363.55       0.000000     0.003978     0.000016     0.004903
   974       3366.89       0.000000     0.006568     0.000043     0.013365
   975       3368.56       0.000000     0.004470     0.000020     0.006192
   976       3370.17       0.000000     0.007062     0.000050     0.015455
   977       3372.95       0.000000     0.007970     0.000064     0.019684
   978       3373.58       0.000000     0.007048     0.000050     0.015393
   979       3377.91       0.000000     0.001225     0.000002     0.000465
   980       3379.88       0.000000     0.001504     0.000002     0.000701
   981       3382.59       0.000000     0.003633     0.000013     0.004091
   982       3384.11       0.000000     0.004705     0.000022     0.006858
   983       3385.74       0.000000     0.004263     0.000018     0.005631
   984       3388.66       0.000000     0.001555     0.000002     0.000749
   985       3390.69       0.000000     0.003900     0.000015     0.004713
   986       3392.20       0.000000     0.006682     0.000045     0.013836
   987       3393.81       0.000000     0.011427     0.000131     0.040461
   988       3396.99       0.000000     0.002908     0.000008     0.002620
   989       3398.23       0.000000     0.007814     0.000061     0.018917
   990       3400.76       0.000000     0.005875     0.000035     0.010694
   991       3401.55       0.000000     0.003671     0.000013     0.004177
   992       3405.27       0.000000     0.001636     0.000003     0.000830
   993       3408.45       0.000000     0.007272     0.000053     0.016384
   994       3409.97       0.000000     0.003000     0.000009     0.002788
   995       3411.56       0.000000     0.001919     0.000004     0.001141
   996       3413.67       0.000000     0.001758     0.000003     0.000958
   998       3418.38       0.000000     0.001917     0.000004     0.001139
   999       3420.83       0.000000     0.007057     0.000050     0.015429
  1000       3422.03       0.000000     0.002431     0.000006     0.001831
  1001       3426.19       0.000000     0.002230     0.000005     0.001541
