Contour value = 0.93
737280 = number of vibrational basis functions from initial-state totally symemtric irreducible
737280 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -39.30366      -13.22038          4              3.07876
   2      -27.96211       -8.30832          3              2.18583
   3      -16.87429        4.08041          1              0.65488
   4      -10.80437        7.90547          1              0.06541
   5       -3.63263       15.01091          1              0.61127
   6      -15.12520        2.16020          1              0.74588
   7      -15.22556        1.75289          1              0.96190
   8       -8.83228        6.45306          1              0.05902
   9      -17.73120       -2.82870          2              1.94808
  10       -5.20608        5.56437          0             -0.03478
  11       -4.84659        5.88222          1              0.02352
  12       -6.54255        4.11944          1              0.15509
  13       -7.70909        2.82349          1              0.42744
  14      -19.69477       18.95052          0             -0.16043
  15       38.34729       55.38943          5              4.91382
  16       -9.54089       16.07572          1              0.03025
  17       -9.94436       14.43176          1              0.10436
  18      -10.38902       11.13339          0             -0.07088
  19       -9.43675       10.34524          0             -0.07088
  20       -9.90768        9.28506          0             -0.06828
  21      -10.13003       10.13005          0             -0.93420
  22      -14.11676       14.11674          0             -0.00674
  23      -11.94618       11.94598          0             -0.07938
  24       -8.88272        8.88276          0             -0.10486
  25       -8.77654        8.77655          0             -0.08749
  26       -8.77469        8.77449          0             -0.04052
  27       -7.80432        7.80444          0             -0.06764
  28       -8.23451        8.23451          0             -0.00903
  29       -7.78790        7.78795          0             -0.02191
  30       -5.44491        5.44486          0             -0.05305
  31       -5.41923        5.41927          0             -0.05640
  32       -5.16311        5.16316          0             -0.07115
  33      -16.93601       16.93608          0             -1.14939
  34      -14.41668       14.41666          0             -0.20909
  35      -10.45653       10.45639          0             -0.13989
  36      -10.68538       10.68534          0             -0.03297
