-285.8584647019    -285.7016569449    
-285.8585290309    -285.7017506401    
-285.8585435916    -285.7017832733    
-285.8584492100    -285.7016241337    
-285.8584580935    -285.7021039773    
-285.8585806735    -285.7013822767    
-285.8585180160    -285.7016673733    
-285.8583406094    -285.7016078442    
-285.8584871585    -285.7013501536    
-285.8585335549    -285.7021468382    
-285.8584338850    -285.7016375565    
-285.8584508954    -285.7016616042    
-285.8584456043    -285.7016579553    
-285.8584392613    -285.7016408970    
-285.8585703659    -285.7017616023    
-285.8583854159    -285.7016056778    
-285.8585031303    -285.7017160609    
-285.8585047228    -285.7017057276    
-285.8585169158    -285.7017293735    
-285.8584780584    -285.7016793841    
-285.8584323289    -285.7000692382    
-285.8582422887    -285.7030644555    
-285.8585029614    -285.7017107486    
-285.8584910852    -285.7016978279    
-285.8581525562    -285.7014253345    
-285.8588476171    -285.7019951395    
-285.8581840394    -285.7018896601    
-285.8585407124    -285.7014754162    
-285.8590182335    -285.7013332274    
-285.8576800593    -285.7018282457    
-285.8584402005    -285.7016648721    
-285.8584435254    -285.7016332034    
-285.8584429872    -285.7016707704    
-285.8584411353    -285.7016277239    
-285.8584190645    -285.7016327523    
-285.8584647252    -285.7016650381    
-285.8576988629    -285.7006378036    
-285.8591312658    -285.7025877952    
-285.8579544343    -285.7007597023    
-285.8584441370    -285.7020846784    
-285.8577490074    -285.7007312670    
-285.8586400056    -285.7020781590    
-285.8585106200    -285.7017176751    
