Contour value = 0.94
737280 = number of vibrational basis functions from initial-state totally symemtric irreducible
2949120 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -39.44390      -13.08015          4              3.10435
   2      -28.06778       -8.20266          3              2.20616
   3      -16.98695        4.19307          1              0.67035
   4      -10.90496        8.00606          1              0.07599
   5       -3.73287       15.11114          1              0.62616
   6      -15.21814        2.25313          1              0.76124
   7      -15.31684        1.84418          1              0.97949
   8       -8.91446        6.53524          1              0.06947
   9      -17.81132       -2.74858          2              1.97025
  10       -5.26398        5.62228          0             -0.02505
  11       -4.90427        5.93990          1              0.03384
  12       -6.59987        4.17676          1              0.16662
  13       -7.76571        2.88012          1              0.44112
  14      -19.90254       19.15829          0             -0.15323
  15       38.25566       55.48106          5              4.93175
  16       -9.67861       16.21344          1              0.03938
  17      -10.07542       14.56281          1              0.11539
  18      -10.50473       11.24910          0             -0.06192
  19       -9.54310       10.45159          0             -0.06201
  20      -10.01087        9.38824          0             -0.05924
  21      -10.23895       10.23898          0             -0.94359
  22      -14.26855       14.26853          1              0.00392
  23      -12.07463       12.07443          0             -0.07029
  24       -8.97824        8.97827          0             -0.09632
  25       -8.87091        8.87093          0             -0.07857
  26       -8.86904        8.86884          0             -0.03059
  27       -7.88824        7.88836          0             -0.05829
  28       -8.32306        8.32305          1              0.00159
  29       -7.87164        7.87169          0             -0.01158
  30       -5.50345        5.50341          0             -0.04338
  31       -5.47750        5.47754          0             -0.04681
  32       -5.21863        5.21868          0             -0.06188
  33      -17.11811       17.11819          0             -1.16343
  34      -14.57169       14.57167          0             -0.20280
  35      -10.56896       10.56882          0             -0.13210
  36      -10.80028       10.80024          0             -0.02287
