Contour value = 0.98
3440640 = number of vibrational basis functions from initial-state totally symemtric irreducible
110100480 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -40.00483      -12.51922          4              3.20759
   2      -28.49044       -7.77999          3              2.28828
   3      -17.43759        4.64370          1              0.73327
   4      -11.30732        8.40842          1              0.11928
   5       -4.13380       15.51208          1              0.68671
   6      -15.58987        2.62486          1              0.82361
   7      -15.68197        2.20930          2              1.05086
   8       -9.24318        6.86396          1              0.11225
   9      -18.13180       -2.42810          3              2.05995
  10       -5.49560        5.85390          1              0.01489
  11       -5.13500        6.17063          1              0.07612
  12       -6.82916        4.40605          1              0.21374
  13       -7.99222        3.10662          1              0.49682
  14      -20.73362       19.98937          0             -0.12366
  15       37.88917       55.84755          6              5.00375
  16      -10.22950       16.76433          1              0.07665
  17      -10.59964       15.08703          1              0.16049
  18      -10.96758       11.71195          0             -0.02512
  19       -9.96852       10.87701          0             -0.02563
  20      -10.42361        9.80099          0             -0.02214
  21      -10.67465       10.67468          0             -0.98214
  22      -14.87572       14.87570          1              0.04772
  23      -12.58844       12.58824          0             -0.03294
  24       -9.36029        9.36032          0             -0.06123
  25       -9.24840        9.24841          0             -0.04195
  26       -9.24645        9.24624          1              0.01021
  27       -8.22391        8.22403          0             -0.01990
  28       -8.67723        8.67722          1              0.04518
  29       -8.20660        8.20665          1              0.03087
  30       -5.73764        5.73760          0             -0.00370
  31       -5.71058        5.71063          0             -0.00742
  32       -5.44070        5.44075          0             -0.02380
  33      -17.84655       17.84662          0             -1.22109
  34      -15.19177       15.19175          0             -0.17697
  35      -11.01870       11.01856          0             -0.10013
  36      -11.25986       11.25982          1              0.01860
