 N-H1 / A, N-H2 / A, energy A1 / Hartree, energy B2 / Hartree, energy B1 / Hartree, energy A2 / Hartree
    1.03715,    1.03715,   -286.0977785485,   -285.9002840107,   -285.8633995354,   -285.8513868952
        1.1,    1.03715,   -286.0952028263,   -285.8977766243,   -285.8621926197,   -285.8493448645
        1.1,        1.1,   -286.0927060790,   -285.8952862543,   -285.8610366869,   -285.8474142844
        1.2,    1.03715,   -286.0837501548,   -285.8866391319,   -285.8536584026,   -285.8389986332
        1.2,        1.1,   -286.0813774682,   -285.8841665356,   -285.8525686655,   -285.8372614060
        1.2,        1.2,   -286.0701204552,   -285.8729410484,   -285.8440529964,   -285.8273161400
        1.3,    1.03715,   -286.0673954385,   -285.8709868465,   -285.8419787698,   -285.8243837548
        1.3,        1.1,   -286.0654039343,   -285.8687380245,   -285.8411738292,   -285.8231393336
        1.3,        1.2,   -286.0542951367,   -285.8574302807,   -285.8326045583,   -285.8135359344
        1.3,        1.3,   -286.0385095843,   -285.8416746819,   -285.8208399520,   -285.8000221903
        1.4,    1.03715,   -286.0477351272,   -285.8528779511,   -285.8303940193,   -285.8075623186
        1.4,        1.1,   -286.0473381008,   -285.8518976159,   -285.8310349684,   -285.8080857524
        1.4,        1.2,   -286.0369998770,   -285.8409991434,   -285.8228778368,   -285.7995270971
        1.4,        1.3,   -286.0213760310,   -285.8250215058,   -285.8106079114,   -285.7864593100
        1.4,        1.4,   -286.0042521785,   -285.8078647318,   -285.7991303740,   -285.7731847740
