Contour value = 0.99
66355200 = number of vibrational basis functions from initial-state totally symemtric irreducible
265420800 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       11.62154       39.50186          4              3.26960
   2       -9.19797       13.38951          1              0.21861
   3      -33.23344      -12.66164          5              4.02525
   4      -11.16122        8.92931          1              0.10320
   5      -11.94058        7.66478          1              0.21067
   6       -0.33418       18.06799          2              1.34495
   7      -14.19263        3.91483          1              0.77410
   8      -10.25249        6.01844          1              0.26559
   9      -16.82452       -0.98244          2              1.62467
  10       -5.51955        5.94460          1              0.03173
  11       -5.32861        6.08687          1              0.06284
  12       -6.25953        5.10319          1              0.10257
  13       -3.23296        7.97052          1              0.48433
  14      -21.31294       20.61254          0             -0.11963
  15      -17.60324        9.81571          1              0.14802
  16       36.52054       54.62359          9              8.67973
  17       -2.50682       22.12418          2              1.01372
  18       -8.53178       14.31867          1              0.28239
  19      -11.22135       10.04913          1              0.06314
  20       -9.71418       10.43457          1              0.02987
  21      -16.46144       16.46142          0             -0.02215
  22      -12.73000       12.72979          0             -0.02048
  23       -9.59103        9.59103          0             -0.07006
  24       -9.48787        9.48792          0             -0.03262
  25       -9.30228        9.30243          0             -0.00327
  26       -8.94926        8.94919          1              0.02052
  27       -8.54643        8.54642          0             -0.01761
  28       -8.22224        8.22214          0             -0.01711
  29       -7.82477        7.82492          0             -0.02287
  30       -5.73085        5.73090          0             -0.00411
  31       -5.70356        5.70353          0             -0.00378
  32       -5.48849        5.48854          0             -0.02630
  33      -15.43705       15.43703          0             -0.10190
  34      -18.64217       18.64222          1              0.46577
  35      -11.11377       11.11362          0             -0.01468
  36      -10.14838       10.14834          0             -0.01214
