Ground state energy = 27209.74 cm^-1
Max intensity = 0.004304
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
     2         28.19    0.00000e+00    0.0017909    0.0000032    0.00074523    1.241051584463023e-01
     5        270.12    0.00000e+00    0.0028156    0.0000079    0.00184204    1.252074485938104e-01
     8        521.38    0.00000e+00    0.0048040    0.0000231    0.00536240    1.263522639547709e-01
    10        558.27    0.00000e+00    0.0013595    0.0000018    0.00042943    1.265203708805817e-01
    11        652.80    0.00000e+00    0.0004915    0.0000002    0.00005614    1.269510907402421e-01
    14        699.21    0.00000e+00    0.0054117    0.0000293    0.00680470    1.271625228976463e-01
    16        800.14    0.00000e+00    0.0022797    0.0000052    0.00120757    1.276224215532378e-01
    17        830.60    0.00000e+00    0.0005470    0.0000003    0.00006953    1.277611869782385e-01
    21        926.21    0.00000e+00    0.0015966    0.0000025    0.00059229    1.281968053834498e-01
    25       1051.34    0.00000e+00    0.0037168    0.0000138    0.00320981    1.287669806964665e-01
    28       1088.33    0.00000e+00    0.0007155    0.0000005    0.00011895    1.289355194316494e-01
    33       1149.62    0.00000e+00    0.0006391    0.0000004    0.00009490    1.292147699546069e-01
    34       1167.84    0.00000e+00    0.0015271    0.0000023    0.00054184    1.292977555478941e-01
    35       1182.82    0.00000e+00    0.0003905    0.0000002    0.00003542    1.293660387607053e-01
    38       1229.20    0.00000e+00    0.0043058    0.0000185    0.00430773    1.295773703416153e-01
    45       1330.18    0.00000e+00    0.0012882    0.0000017    0.00038560    1.300374524179964e-01
    47       1360.62    0.00000e+00    0.0004462    0.0000002    0.00004626    1.301761532970858e-01
    53       1400.82    0.00000e+00    0.0009140    0.0000008    0.00019411    1.303593187160547e-01
    55       1416.57    0.00000e+00    0.0005849    0.0000003    0.00007949    1.304310643715945e-01
    56       1418.94    0.00000e+00    0.0046298    0.0000214    0.00498045    1.304418891349036e-01
    60       1456.21    0.00000e+00    0.0012369    0.0000015    0.00035551    1.306116723830614e-01
    65       1520.14    0.00000e+00    0.0045660    0.0000208    0.00484408    1.309029862788544e-01
    69       1550.59    0.00000e+00    0.0005056    0.0000003    0.00005940    1.310417000466802e-01
    74       1578.62    0.00000e+00    0.0012405    0.0000015    0.00035755    1.311694273617799e-01
    75       1581.32    0.00000e+00    0.0019903    0.0000040    0.00092043    1.311817252302803e-01
    79       1596.80    0.00000e+00    0.0053771    0.0000289    0.00671810    1.312522677150893e-01
