-286.0938974382    -285.9446798994    -285.9156270591    -285.8653173001    
-286.0920264734    -285.9427521886    -285.9147288491    -285.8634801813    
-286.0888865325    -285.9395189531    -285.9131596325    -285.8604028380    
-286.0844433225    -285.9349468912    -285.9108167279    -285.8560590826    
-286.0786450139    -285.9289843430    -285.9075650329    -285.8504069326    
-286.0714176641    -285.9215562922    -285.9032406588    -285.8433841089    
-286.0626580484    -285.9125571033    -285.8976506818    -285.8349047530    
-286.0522223184    -285.9018392152    -285.8905669389    -285.8252208949    
-286.0399068334    -285.8891939838    -285.8817103133    -285.8156728794    
-286.0254135049    -285.8743168900    -285.8707179217    -285.8044171772    
