Ground state energy = 26165.45 cm^-1
Max intensity = 0.036921
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
     1          0.00    0.00000e+00    0.0532381    0.0028343    0.07676553    1.192185787718701e-01
     2        530.10    0.00000e+00    0.0437809    0.0019168    0.05191477    1.216338842500765e-01
     3        879.62    0.00000e+00    0.0007428    0.0000006    0.00001495    1.232264303944172e-01
     4        898.20    0.00000e+00    0.0398686    0.0015895    0.04305107    1.233110698304903e-01
     5        985.08    0.00000e+00    0.0013165    0.0000017    0.00004694    1.237069191569923e-01
     6       1060.19    0.00000e+00    0.0245944    0.0006049    0.01638304    1.240491772687444e-01
     7       1093.98    0.00000e+00    0.0077560    0.0000602    0.00162928    1.242031384841738e-01
     8       1236.64    0.00000e+00    0.0048452    0.0000235    0.00063584    1.248531084934370e-01
     9       1239.91    0.00000e+00    0.0219246    0.0004807    0.01301921    1.248680404023248e-01
    10       1382.82    0.00000e+00    0.0094057    0.0000885    0.00239609    1.255191490550608e-01
    11       1388.33    0.00000e+00    0.0139905    0.0001957    0.00530135    1.255442540307813e-01
    13       1412.60    0.00000e+00    0.0022191    0.0000049    0.00013337    1.256548666421999e-01
    14       1428.26    0.00000e+00    0.0328952    0.0010821    0.02930795    1.257262104604862e-01
    15       1440.61    0.00000e+00    0.1786365    0.0319110    0.86429399    1.257825035749929e-01
    16       1474.95    0.00000e+00    0.0037956    0.0000144    0.00039019    1.259389296373456e-01
    17       1515.22    0.00000e+00    0.0011192    0.0000013    0.00003393    1.261224209813493e-01
    19       1545.05    0.00000e+00    0.0334481    0.0011188    0.03030158    1.262583412686246e-01
    20       1595.50    0.00000e+00    0.0104737    0.0001097    0.00297114    1.264882240398366e-01
    21       1598.50    0.00000e+00    0.0073627    0.0000542    0.00146822    1.265018948995381e-01
    22       1624.06    0.00000e+00    0.0063830    0.0000407    0.00110349    1.266183587363128e-01
    23       1643.35    0.00000e+00    0.0255728    0.0006540    0.01771241    1.267062115193535e-01
    24       1652.46    0.00000e+00    0.0116255    0.0001352    0.00366051    1.267477596840929e-01
    25       1766.72    0.00000e+00    0.0041259    0.0000170    0.00046105    1.272683353008933e-01
    26       1770.00    0.00000e+00    0.0179745    0.0003231    0.00875059    1.272833123054808e-01
    27       1777.79    0.00000e+00    0.0009264    0.0000009    0.00002324    1.273187930339857e-01
    28       1796.24    0.00000e+00    0.0177253    0.0003142    0.00850956    1.274028493462973e-01
    30       1883.56    0.00000e+00    0.0009961    0.0000010    0.00002687    1.278007095287909e-01
    31       1902.35    0.00000e+00    0.0007583    0.0000006    0.00001558    1.278863242193636e-01
    32       1912.87    0.00000e+00    0.0071371    0.0000509    0.00137964    1.279342749619419e-01
    33       1918.42    0.00000e+00    0.0126896    0.0001610    0.00436132    1.279595317134676e-01
    35       1942.71    0.00000e+00    0.0019275    0.0000037    0.00010063    1.280702000078751e-01
    36       1958.37    0.00000e+00    0.0186405    0.0003475    0.00941105    1.281415547643042e-01
    37       1970.64    0.00000e+00    0.1493750    0.0223129    0.60433412    1.281974983186554e-01
    39       1992.19    0.00000e+00    0.0060508    0.0000366    0.00099163    1.282956593269113e-01
    40       2005.03    0.00000e+00    0.0031714    0.0000101    0.00027241    1.283541756498305e-01
    41       2045.37    0.00000e+00    0.0006513    0.0000004    0.00001149    1.285379677814696e-01
    43       2075.10    0.00000e+00    0.0285662    0.0008160    0.02210168    1.286734472192964e-01
    47       2128.61    0.00000e+00    0.0061708    0.0000381    0.00103135    1.289172225818587e-01
    48       2135.18    0.00000e+00    0.0049370    0.0000244    0.00066017    1.289471885160392e-01
    49       2138.08    0.00000e+00    0.0165271    0.0002731    0.00739799    1.289603741510819e-01
    50       2154.18    0.00000e+00    0.0035845    0.0000128    0.00034800    1.290337487477308e-01
    51       2173.35    0.00000e+00    0.0209463    0.0004387    0.01188324    1.291210731278082e-01
