-286.1075216397    -285.9209074078    -285.9185001099    -285.8691483579    
-286.1073369835    -285.9200918067    -285.9171560249    -285.8696969848    
-286.1073374910    -285.9213619298    -285.9194873412    -285.8682337574    
-286.1074271265    -285.9213779324    -285.9175089488    -285.8677960048    
-286.1074287007    -285.9202576555    -285.9192937423    -285.8702939316    
-286.1073545300    -285.9203852572    -285.9179650248    -285.8685053117    
-286.1073605409    -285.9211242687    -285.9187270857    -285.8694573401    
-286.1074516700    -285.9208460500    -285.9184384242    -285.8691128615    
-286.1074542012    -285.9208304989    -285.9184242588    -285.8690459527    
-286.1074522307    -285.9208824553    -285.9184642867    -285.8691141112    
-286.1074540128    -285.9207947024    -285.9183990674    -285.8690444605    
-286.1074520608    -285.9209216264    -285.9184584806    -285.8691614667    
-286.1074538618    -285.9207552274    -285.9184043817    -285.8689973048    
-286.1074523455    -285.9218297219    -285.9187595562    -285.8696088008    
-286.1074545683    -285.9198673756    -285.9181096146    -285.8685613368    
-286.1074425815    -285.9204678332    -285.9183973839    -285.8689445834    
-286.1074446770    -285.9211965770    -285.9184466717    -285.8691982184    
-286.1071808318    -285.9198993255    -285.9173242450    -285.8698953265    
-286.1071692397    -285.9212405156    -285.9190375780    -285.8677173026    
-286.1071775916    -285.9200693811    -285.9175219939    -285.8696160095    
-286.1071662110    -285.9210612202    -285.9188060430    -285.8679769011    
-286.1075075425    -285.9208730605    -285.9184936442    -285.8691362438    
-286.1075075362    -285.9209131322    -285.9184780247    -285.8691318131    
-286.1075075162    -285.9208737919    -285.9184783860    -285.8691073680    
-286.1075075260    -285.9209123505    -285.9184934666    -285.8691603786    
-286.1075094491    -285.9206716127    -285.9184803349    -285.8690331572    
-286.1075092161    -285.9211183929    -285.9184960213    -285.8692376617    
-286.1075135938    -285.9209328189    -285.9185087238    -285.8691285804    
-286.1075135865    -285.9208720363    -285.9184831157    -285.8691527785    
-286.1074985390    -285.9208958444    -285.9184911866    -285.8691245086    
-286.1074985189    -285.9208727917    -285.9184765359    -285.8691248346    
-286.1074971433    -285.9208736975    -285.9184861545    -285.8691298529    
-286.1074971199    -285.9208898830    -285.9184855385    -285.8691273048    
-286.1075003664    -285.9209102453    -285.9185085872    -285.8691291818    
-286.1075003788    -285.9208575339    -285.9184684171    -285.8691362449    
-286.1075083477    -285.9209597312    -285.9185092394    -285.8691139937    
-286.1075083325    -285.9208353596    -285.9184752141    -285.8691631622    
-286.1074752137    -285.9214196828    -285.9186134274    -285.8693329635    
-286.1074747706    -285.9203168235    -285.9183183285    -285.8688685387    
-286.1075125758    -285.9213004272    -285.9185813936    -285.8692507038    
-286.1075125351    -285.9204967892    -285.9184009623    -285.8690288478    
-286.1074429929    -285.9208401571    -285.9184084073    -285.8690525984    
-286.1074398171    -285.9208265629    -285.9184092094    -285.8690617381    
-286.1074461378    -285.9208209980    -285.9184070329    -285.8690643837    
-286.1074534724    -285.9208389163    -285.9184320422    -285.8690795958    
-286.1074535839    -285.9208389032    -285.9184320589    -285.8690798078    
-286.1074429702    -285.9208327395    -285.9184195503    -285.8690703285    
-286.1074831682    -285.9208713435    -285.9184675259    -285.8691088084    
-286.1075148186    -285.9209005035    -285.9184933128    -285.8691413918    
-286.1075081565    -285.9208936999    -285.9184864432    -285.8691346408    
-286.1075082183    -285.9208936872    -285.9184866036    -285.8691345412    
-286.1075098376    -285.9208923152    -285.9184875251    -285.8691350076    
-286.1075128648    -285.9208998992    -285.9184916721    -285.8691395438    
-286.1074998703    -285.9208973110    -285.9184856524    -285.8691263271    
-286.1074972886    -285.9208826154    -285.9184874399    -285.8691235785    
-286.1075008412    -285.9208938793    -285.9184850889    -285.8691274895    
-286.1075211751    -285.9209059251    -285.9184991288    -285.8691476531    
