cos(H-N-H), energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree, energy A2 / Hartree
   -0.994436870644748,   -286.0235982926,   -285.8712794326,   -285.8493959760,   -285.7898917465
   -0.978952946412066,   -286.0359646469,   -285.8841459840,   -285.8609623895,   -285.8013556887
   -0.953687648674468,   -286.0474475186,   -285.8960490142,   -285.8717576191,   -285.8139821771
   -0.918893419615337,   -286.0579309759,   -285.9069004288,   -285.8816528379,   -285.8254518917
   -0.874917912050515,   -286.0673020457,   -285.9166017504,   -285.8905222600,   -285.8356715553
   -0.822200517171541,   -286.0754523594,   -285.9250519127,   -285.8982452011,   -285.8445490961
   -0.761267961726681,   -286.0822783932,   -285.9321516073,   -285.9047065878,   -285.8519955113
   -0.692729061005608,   -286.0876835211,   -285.9378079744,   -285.9097992244,   -285.8579280149
   -0.617268652369609,   -286.0915788162,   -285.9419369063,   -285.9134246194,   -285.8622715016
   -0.535640696655858,   -286.0938828863,   -285.9444637130,   -285.9154927724,   -285.8649588227
   -0.448660552147955,   -286.0945184995,   -285.9453200579,   -285.9159186745,   -285.8659277742
   -0.357198023526339,   -286.0934094334,   -285.9444408625,   -285.9146185426,   -285.8651181483
   -0.262166246026937,   -286.0904705209,   -285.9417546098,   -285.9115001191,   -285.8624623296
   -0.164514986000456,   -286.0856057835,   -285.9371818577,   -285.9064602230,   -285.8578837655
   -0.065219957107510,   -286.0787029098,   -285.9306311174,   -285.8993797599,   -285.8512924991
    0.034726735065856,   -286.0696376169,   -285.9220052000,   -285.8901275653,   -285.8425905852
    0.134326446277606,   -286.0582755145,   -285.9112067359,   -285.8785631396,   -285.8316759475
    0.232584014747921,   -286.0444726761,   -285.8981433241,   -285.8645375414,   -285.8184451288
    0.328517680947979,   -286.0280621062,   -285.8827200494,   -285.8478802708,   -285.8027823368
    0.421168904217647,   -286.0088205827,   -285.8648170545,   -285.8283662217,   -285.7845313606
    0.509611948964990,   -285.9864109246,   -285.8442532588,   -285.8056569510,   -285.7634490897
