Ground state energy = 26623.77 cm^-1
Max intensity = 0.039903
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
     1          0.00    0.00000e+00    0.0069330    0.0000481    0.00120458    1.213068467405014e-01
     2        219.36    0.00000e+00    0.0020199    0.0000041    0.00010225    1.223063399078917e-01
     3        247.63    0.00000e+00    0.1186197    0.0140706    0.35261681    1.224351119175485e-01
     4        378.59    0.00000e+00    0.0119883    0.0001437    0.00360165    1.230318114267580e-01
     5        530.08    0.00000e+00    0.0054513    0.0000297    0.00074471    1.237220492643779e-01
     6        749.44    0.00000e+00    0.0013474    0.0000018    0.00004550    1.247215405119260e-01
     7        777.66    0.00000e+00    0.0983219    0.0096672    0.24226435    1.248501391343367e-01
     8        879.60    0.00000e+00    0.0004043    0.0000002    0.00000410    1.253145769694977e-01
     9        898.14    0.00000e+00    0.0048089    0.0000231    0.00057954    1.253990683867911e-01
    10        908.67    0.00000e+00    0.0101886    0.0001038    0.00260148    1.254470628339082e-01
    12       1060.18    0.00000e+00    0.0029113    0.0000085    0.00021240    1.261373751842975e-01
    13       1093.97    0.00000e+00    0.0010349    0.0000011    0.00002684    1.262913190901554e-01
    14       1098.97    0.00000e+00    0.0005185    0.0000003    0.00000674    1.263141303113882e-01
    15       1117.50    0.00000e+00    0.0004916    0.0000002    0.00000606    1.263985475636726e-01
    16       1127.20    0.00000e+00    0.0014316    0.0000020    0.00005136    1.264427338196680e-01
    17       1145.64    0.00000e+00    0.0977543    0.0095559    0.23947524    1.265267794111261e-01
    19       1234.00    0.00000e+00    0.0030676    0.0000094    0.00023582    1.269293736961665e-01
    20       1236.77    0.00000e+00    0.0007768    0.0000006    0.00001512    1.269419648964934e-01
    21       1239.90    0.00000e+00    0.0027571    0.0000076    0.00019051    1.269562265358440e-01
    22       1258.23    0.00000e+00    0.0005164    0.0000003    0.00000668    1.270397534830410e-01
    23       1276.72    0.00000e+00    0.0105889    0.0001121    0.00280991    1.271240277457220e-01
    24       1279.54    0.00000e+00    0.0005644    0.0000003    0.00000798    1.271368478543362e-01
    25       1307.75    0.00000e+00    0.0556860    0.0031009    0.07771064    1.272654112178265e-01
    26       1313.34    0.00000e+00    0.0003291    0.0000001    0.00000272    1.272908464297089e-01
    27       1341.56    0.00000e+00    0.0166093    0.0002759    0.00691342    1.274194609224118e-01
    29       1382.82    0.00000e+00    0.0056806    0.0000323    0.00080870    1.276074186653148e-01
    30       1388.33    0.00000e+00    0.0018246    0.0000033    0.00008343    1.276325237126490e-01
    33       1428.22    0.00000e+00    0.0037906    0.0000144    0.00036009    1.278143115616099e-01
    34       1438.78    0.00000e+00    0.0059322    0.0000352    0.00088191    1.278624272596405e-01
    35       1440.57    0.00000e+00    0.0212246    0.0004505    0.01128928    1.278705683968607e-01
    37       1459.26    0.00000e+00    0.0006227    0.0000004    0.00000972    1.279557293424491e-01
    38       1472.58    0.00000e+00    0.0016385    0.0000027    0.00006728    1.280164374619898e-01
    39       1475.01    0.00000e+00    0.0005811    0.0000003    0.00000846    1.280275065541356e-01
    40       1483.73    0.00000e+00    0.0142648    0.0002035    0.00509942    1.280672337793337e-01
    41       1487.45    0.00000e+00    0.0495080    0.0024510    0.06142427    1.280841762128505e-01
    42       1515.43    0.00000e+00    0.0004873    0.0000002    0.00000595    1.282116548693775e-01
    44       1545.03    0.00000e+00    0.0053788    0.0000289    0.00072503    1.283465347967604e-01
    45       1595.47    0.00000e+00    0.0011709    0.0000014    0.00003436    1.285763545628867e-01
    46       1598.49    0.00000e+00    0.0009880    0.0000010    0.00002446    1.285901154916723e-01
    47       1607.68    0.00000e+00    0.0005034    0.0000003    0.00000635    1.286319936788026e-01
    48       1615.40    0.00000e+00    0.0014197    0.0000020    0.00005051    1.286671594696580e-01
    49       1618.51    0.00000e+00    0.0050879    0.0000259    0.00064874    1.286813230384740e-01
    50       1624.04    0.00000e+00    0.0008176    0.0000007    0.00001675    1.287065353468438e-01
    51       1629.04    0.00000e+00    0.0003899    0.0000002    0.00000381    1.287292957145672e-01
    52       1632.42    0.00000e+00    0.0003949    0.0000002    0.00000391    1.287447097831945e-01
    53       1635.94    0.00000e+00    0.0306777    0.0009411    0.02358492    1.287607314057110e-01
    54       1643.17    0.00000e+00    0.0033845    0.0000115    0.00028707    1.287936787726064e-01
    56       1652.76    0.00000e+00    0.0014361    0.0000021    0.00005168    1.288373810105072e-01
    57       1654.31    0.00000e+00    0.0172004    0.0002959    0.00741423    1.288444337749374e-01
    58       1657.26    0.00000e+00    0.0019776    0.0000039    0.00009801    1.288578856059852e-01
    60       1675.68    0.00000e+00    0.0808467    0.0065362    0.16379993    1.289418212873115e-01
    62       1722.83    0.00000e+00    0.0120553    0.0001453    0.00364204    1.291566191939060e-01
    64       1740.08    0.00000e+00    0.1978058    0.0391271    0.98054420    1.292352490188199e-01
    65       1762.52    0.00000e+00    0.0004011    0.0000002    0.00000403    1.293374941905588e-01
    66       1764.12    0.00000e+00    0.0027849    0.0000078    0.00019436    1.293447830078235e-01
    67       1766.82    0.00000e+00    0.0006351    0.0000004    0.00001011    1.293570602215414e-01
    68       1766.95    0.00000e+00    0.0032883    0.0000108    0.00027097    1.293576509011373e-01
    69       1769.98    0.00000e+00    0.0021585    0.0000047    0.00011676    1.293714790784266e-01
    70       1777.73    0.00000e+00    0.0003498    0.0000001    0.00000307    1.294067895712868e-01
    71       1788.30    0.00000e+00    0.0005771    0.0000003    0.00000835    1.294549624437445e-01
    72       1791.59    0.00000e+00    0.0011053    0.0000012    0.00003062    1.294699303902251e-01
    73       1796.14    0.00000e+00    0.0019021    0.0000036    0.00009066    1.294906782368916e-01
    74       1806.79    0.00000e+00    0.0090245    0.0000814    0.00204097    1.295391897694731e-01
    76       1817.86    0.00000e+00    0.0003352    0.0000001    0.00000282    1.295896265878977e-01
    77       1823.68    0.00000e+00    0.0611951    0.0037448    0.09384758    1.296161550234066e-01
    78       1843.01    0.00000e+00    0.0239370    0.0005730    0.01435915    1.297042351779054e-01
    80       1846.10    0.00000e+00    0.0167363    0.0002801    0.00701954    1.297182873266352e-01
    81       1853.55    0.00000e+00    0.0008276    0.0000007    0.00001716    1.297522266949308e-01
    82       1862.34    0.00000e+00    0.0009144    0.0000008    0.00002095    1.297923092287744e-01
    84       1871.64    0.00000e+00    0.0136913    0.0001875    0.00469762    1.298346691459347e-01
    87       1890.12    0.00000e+00    0.0584376    0.0034150    0.08558039    1.299188744783402e-01
    89       1900.45    0.00000e+00    0.0256018    0.0006554    0.01642588    1.299659500042262e-01
    90       1902.22    0.00000e+00    0.0008885    0.0000008    0.00001978    1.299740152603220e-01
    91       1912.87    0.00000e+00    0.0046212    0.0000214    0.00053518    1.300225094824199e-01
    92       1918.41    0.00000e+00    0.0015918    0.0000025    0.00006350    1.300477705824808e-01
    95       1958.29    0.00000e+00    0.0020264    0.0000041    0.00010290    1.302294527179434e-01
    96       1970.61    0.00000e+00    0.0168966    0.0002855    0.00715465    1.302856055819179e-01
    98       1974.07    0.00000e+00    0.0026134    0.0000068    0.00017116    1.303013820234616e-01
    99       1977.11    0.00000e+00    0.0016829    0.0000028    0.00007098    1.303152428273957e-01
   101       1989.33    0.00000e+00    0.0003793    0.0000001    0.00000360    1.303709055915902e-01
   102       1992.13    0.00000e+00    0.0007527    0.0000006    0.00001420    1.303836402407978e-01
   103       1997.05    0.00000e+00    0.0003966    0.0000002    0.00000394    1.304060996867349e-01
   104       2002.66    0.00000e+00    0.0013971    0.0000020    0.00004891    1.304316582347671e-01
   105       2005.05    0.00000e+00    0.0004703    0.0000002    0.00000554    1.304425098810776e-01
   106       2013.72    0.00000e+00    0.0122138    0.0001492    0.00373843    1.304820427446407e-01
   107       2015.45    0.00000e+00    0.0004022    0.0000002    0.00000405    1.304899123466526e-01
   108       2017.51    0.00000e+00    0.0409069    0.0016734    0.04193564    1.304993016601858e-01
   109       2021.50    0.00000e+00    0.0058240    0.0000339    0.00085002    1.305174662589860e-01
   111       2031.37    0.00000e+00    0.0026941    0.0000073    0.00018190    1.305624635021683e-01
   112       2043.47    0.00000e+00    0.0488383    0.0023852    0.05977371    1.306175676637659e-01
   113       2045.50    0.00000e+00    0.0004040    0.0000002    0.00000409    1.306268180704610e-01
   115       2075.08    0.00000e+00    0.0043993    0.0000194    0.00048501    1.307616148230676e-01
   123       2128.58    0.00000e+00    0.0007901    0.0000006    0.00001564    1.310053770175506e-01
   124       2132.36    0.00000e+00    0.0025265    0.0000064    0.00015997    1.310225905198177e-01
   125       2135.25    0.00000e+00    0.0007243    0.0000005    0.00001315    1.310357428478940e-01
   126       2137.76    0.00000e+00    0.0003684    0.0000001    0.00000340    1.310472027165266e-01
   127       2138.03    0.00000e+00    0.0019147    0.0000037    0.00009188    1.310484472798134e-01
   128       2145.46    0.00000e+00    0.0012501    0.0000016    0.00003917    1.310822627036947e-01
   129       2148.40    0.00000e+00    0.0015448    0.0000024    0.00005980    1.310956852541916e-01
   130       2148.58    0.00000e+00    0.0043465    0.0000189    0.00047345    1.310964847260391e-01
   131       2154.16    0.00000e+00    0.0004355    0.0000002    0.00000475    1.311219015212901e-01
   134       2162.50    0.00000e+00    0.0003241    0.0000001    0.00000263    1.311599385561439e-01
   135       2166.01    0.00000e+00    0.0280730    0.0007881    0.01974996    1.311759016711523e-01
   136       2173.16    0.00000e+00    0.0026591    0.0000071    0.00017720    1.312084914098643e-01
   137       2174.67    0.00000e+00    0.0056877    0.0000324    0.00081072    1.312153877544073e-01
   139       2182.87    0.00000e+00    0.0011536    0.0000013    0.00003335    1.312527442872239e-01
   140       2184.32    0.00000e+00    0.0134607    0.0001812    0.00454074    1.312593492973312e-01
   141       2187.33    0.00000e+00    0.0016146    0.0000026    0.00006533    1.312730450709007e-01
   144       2205.72    0.00000e+00    0.0457025    0.0020887    0.05234434    1.313568679081588e-01
   149       2239.60    0.00000e+00    0.0142546    0.0002032    0.00509214    1.315112023482587e-01
   151       2252.80    0.00000e+00    0.0098303    0.0000966    0.00242169    1.315713691334282e-01
   156       2270.05    0.00000e+00    0.1671008    0.0279227    0.69975517    1.316499372702839e-01
   157       2280.63    0.00000e+00    0.0003177    0.0000001    0.00000253    1.316981589284248e-01
   158       2280.74    0.00000e+00    0.0044362    0.0000197    0.00049318    1.316986558776115e-01
   159       2286.50    0.00000e+00    0.0012552    0.0000016    0.00003948    1.317249147627607e-01
   162       2294.26    0.00000e+00    0.0017621    0.0000031    0.00007782    1.317602590179920e-01
   163       2296.88    0.00000e+00    0.0003444    0.0000001    0.00000297    1.317721981552403e-01
   164       2297.03    0.00000e+00    0.0030590    0.0000094    0.00023450    1.317728677344000e-01
   166       2300.08    0.00000e+00    0.0011428    0.0000013    0.00003273    1.317867842181845e-01
   168       2311.45    0.00000e+00    0.0003245    0.0000001    0.00000264    1.318385955225643e-01
   169       2318.38    0.00000e+00    0.0004258    0.0000002    0.00000454    1.318701690078400e-01
   171       2321.67    0.00000e+00    0.0009791    0.0000010    0.00002402    1.318851653013473e-01
   172       2326.16    0.00000e+00    0.0015228    0.0000023    0.00005811    1.319056284809542e-01
   173       2327.99    0.00000e+00    0.0004055    0.0000002    0.00000412    1.319139408556183e-01
   175       2333.87    0.00000e+00    0.0003476    0.0000001    0.00000303    1.319407209742033e-01
   177       2336.86    0.00000e+00    0.0052713    0.0000278    0.00069634    1.319543494159696e-01
   178       2338.35    0.00000e+00    0.0178202    0.0003176    0.00795820    1.319611576447852e-01
   182       2353.69    0.00000e+00    0.0526047    0.0027673    0.06934867    1.320310658208767e-01
   186       2363.22    0.00000e+00    0.0007894    0.0000006    0.00001561    1.320744739316650e-01
   187       2367.00    0.00000e+00    0.0014487    0.0000021    0.00005259    1.320916801789131e-01
   189       2370.70    0.00000e+00    0.0015394    0.0000024    0.00005939    1.321085576092502e-01
   190       2372.89    0.00000e+00    0.0004542    0.0000002    0.00000517    1.321185119186420e-01
   193       2376.16    0.00000e+00    0.0141799    0.0002011    0.00503886    1.321334316271653e-01
   194       2381.93    0.00000e+00    0.0154258    0.0002380    0.00596324    1.321597172921728e-01
   195       2383.56    0.00000e+00    0.0007607    0.0000006    0.00001450    1.321671271654488e-01
   196       2385.45    0.00000e+00    0.0405344    0.0016430    0.04117533    1.321757396779945e-01
   197       2392.31    0.00000e+00    0.0005990    0.0000004    0.00000899    1.322070265500029e-01
   200       2401.72    0.00000e+00    0.0076836    0.0000590    0.00147949    1.322499009431625e-01
   202       2413.44    0.00000e+00    0.0003949    0.0000002    0.00000391    1.323033032994406e-01
   204       2420.03    0.00000e+00    0.0481784    0.0023212    0.05816929    1.323333212190279e-01
   207       2428.19    0.00000e+00    0.0005349    0.0000003    0.00000717    1.323704971964171e-01
   208       2430.52    0.00000e+00    0.0214717    0.0004610    0.01155376    1.323810941240390e-01
