Contour value = 0.95
737280 = number of vibrational basis functions from initial-state totally symemtric irreducible
2949120 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -39.58413      -12.93992          4              3.13002
   2      -28.17344       -8.09699          3              2.22658
   3      -17.09961        4.30573          1              0.68592
   4      -11.00555        8.10665          1              0.08667
   5       -3.83310       15.21138          1              0.64115
   6      -15.31107        2.34607          1              0.77669
   7      -15.40812        1.93546          1              0.99717
   8       -8.99664        6.61742          1              0.08002
   9      -17.89144       -2.66846          2              1.99253
  10       -5.32189        5.68018          0             -0.01521
  11       -4.96196        5.99759          1              0.04426
  12       -6.65719        4.23409          1              0.17825
  13       -7.82234        2.93674          1              0.45489
  14      -20.11031       19.36606          0             -0.14595
  15       38.16404       55.57268          5              4.94970
  16       -9.81633       16.35116          1              0.04858
  17      -10.20647       14.69387          1              0.12652
  18      -10.62045       11.36481          0             -0.05286
  19       -9.64946       10.55795          0             -0.05305
  20      -10.11405        9.49143          0             -0.05011
  21      -10.34788       10.34790          0             -0.95308
  22      -14.42034       14.42032          1              0.01470
  23      -12.20308       12.20288          0             -0.06109
  24       -9.07375        9.07378          0             -0.08768
  25       -8.96529        8.96530          0             -0.06956
  26       -8.96340        8.96319          0             -0.02055
  27       -7.97216        7.97228          0             -0.04884
  28       -8.41160        8.41159          1              0.01231
  29       -7.95538        7.95543          0             -0.00113
  30       -5.56200        5.56196          0             -0.03362
  31       -5.53577        5.53581          0             -0.03711
  32       -5.27415        5.27419          0             -0.05251
  33      -17.30022       17.30030          0             -1.17762
  34      -14.72671       14.72669          0             -0.19644
  35      -10.68140       10.68126          0             -0.12423
  36      -10.91517       10.91513          0             -0.01266
