 N   -0.00740211   -0.00698725   -4.29716867
 C   -0.00782158   -0.01461338   -1.78367050
 C   -0.00629192   -2.35766731   -0.42465112
 C   -0.00980721    2.32015077   -0.41045888
 C   -0.00675099   -2.32642667    2.15047863
 C   -0.01020759    2.27328461    2.16443390
 C   -0.00869817   -0.03055051    3.46905383
 H   -0.00598990   -1.65668955   -5.32181983
 H   -0.00847399    1.64890236   -5.31179084
 H   -0.00481515   -4.09014312   -1.46355126
 H   -0.01093900    4.05889882   -1.43882752
 H   -0.00561408   -4.07174707    3.17765561
 H   -0.01168911    4.01233988    3.20218228
 H   -0.00914310    0.10649201    5.49092311
 N   -0.02439016   -0.02100025   -4.29618907
 C   -0.02362567   -0.04017248   -1.78275253
 C   -0.01316347   -2.38942351   -0.43451372
 C   -0.03325686    2.28823790   -0.39882691
 C   -0.01254803   -2.37001294    2.14073235
 C   -0.03230591    2.22954447    2.17582329
 C   -0.02202805   -0.08023871    3.46984325
 H   -0.01760077   -1.66596345   -5.32840982
 H   -0.03179982    1.63951792   -5.30319164
 H   -0.00602259   -4.11709310   -1.48136371
 H   -0.04102649    4.03167601   -1.41919513
 H   -0.00475050   -4.12001785    3.15987863
 H   -0.03947539    3.96379874    3.22155168
 H   -0.02264479    0.19008433    5.47824094
 N   -0.01673882   -0.02889733   -4.30096040
 C   -0.02017897   -0.05705361   -1.78761068
 C   -0.00892870   -2.41109390   -0.44775788
 C   -0.03516876    2.26638013   -0.39539348
 C   -0.01267214   -2.40088881    2.12753847
 C   -0.03847408    2.19848432    2.17902853
 C   -0.02736828   -0.11589480    3.46480363
 H   -0.00607197   -1.67014979   -5.33903856
 H   -0.02461461    1.63519914   -5.30203512
 H    0.00222189   -4.13499941   -1.50076005
 H   -0.04348990    4.01344325   -1.40953811
 H   -0.00431249   -4.15451428    3.14043776
 H   -0.04965995    3.92897843    3.23093258
 H   -0.03247313    0.28855014    5.45053635
 N   -0.02463311   -0.03862168   -4.30482003
 C   -0.02825267   -0.07325234   -1.79155143
 C   -0.01532211   -2.43072573   -0.45776366
 C   -0.04511777    2.24657670   -0.39335740
 C   -0.01927897   -2.42715488    2.11755011
 C   -0.04857713    2.17204950    2.18088096
 C   -0.03581679   -0.14562372    3.46069333
 H   -0.01263718   -1.67718709   -5.34711998
 H   -0.03369238    1.62804058   -5.30160714
 H   -0.00277855   -4.15190508   -1.51520037
 H   -0.05468440    3.99623863   -1.40300077
 H   -0.00966877   -4.18337590    3.12593125
 H   -0.06116091    3.89982023    3.23723653
 H   -0.04222149    0.39307095    5.41428061
 N   -0.03370857   -0.04684417   -4.30915831
 C   -0.03773130   -0.08662626   -1.79596659
 C   -0.02330252   -2.44681709   -0.46700879
 C   -0.05653290    2.23032051   -0.39302613
 C   -0.02770114   -2.44852512    2.10830618
 C   -0.06037666    2.15051719    2.18105353
 C   -0.04613805   -0.16976312    3.45611753
 H   -0.02033552   -1.68326160   -5.35481068
 H   -0.04381785    1.62184960   -5.30253064
 H   -0.00931876   -4.16581685   -1.52796702
 H   -0.06720809    3.98203972   -1.39908475
 H   -0.01697736   -4.20680079    3.11308914
 H   -0.07440525    3.87611051    3.24094411
 H   -0.05416510    0.50168637    5.36813933
 N   -0.04164422   -0.05469964   -4.31121365
 C   -0.04564543   -0.10310573   -1.79817321
 C   -0.02917115   -2.46782787   -0.47731912
 C   -0.06646911    2.20899786   -0.38729366
 C   -0.03358165   -2.47837354    2.09797480
 C   -0.07025680    2.12036205    2.18649708
 C   -0.05400712   -0.20426509    3.45359467
 H   -0.02684274   -1.68750839   -5.36247299
 H   -0.05319943    1.61738237   -5.29885626
 H   -0.01368708   -4.18316543   -1.54416747
 H   -0.07866236    3.96414783   -1.38733768
 H   -0.02133413   -4.24007548    3.09672072
 H   -0.08579143    3.84229672    3.25230045
 H   -0.06359848    0.59419933    5.31614636
 N   -0.04946788   -0.06184864   -4.31306601
 C   -0.05390049   -0.11808703   -1.80018937
 C   -0.03592228   -2.48690009   -0.48670575
 C   -0.07669705    2.18959359   -0.38211735
 C   -0.04080377   -2.50547252    2.08854195
 C   -0.08089771    2.09293658    2.19138401
 C   -0.06316377   -0.23561438    3.45123623
 H   -0.03326293   -1.69136278   -5.36940436
 H   -0.06207651    1.61329334   -5.29549671
 H   -0.01897076   -4.19889355   -1.55889004
 H   -0.09000289    3.94784125   -1.37669072
 H   -0.02743854   -4.27026805    3.08179681
 H   -0.09790445    3.81153033    3.26254385
 H   -0.07469929    0.68681891    5.25559761
 N   -0.05687436   -0.07124213   -4.31423241
 C   -0.06127506   -0.13526725   -1.80154205
 C   -0.04173859   -2.50812534   -0.49540248
 C   -0.08559518    2.16799402   -0.37632846
 C   -0.04661311   -2.53467820    2.07977531
 C   -0.08973745    2.06336284    2.19686112
 C   -0.07047166   -0.26906737    3.44949426
 H   -0.03959348   -1.69746523   -5.37561334
 H   -0.07058482    1.60692639   -5.29146939
 H   -0.02365674   -4.21677775   -1.57288477
 H   -0.10005760    3.92930498   -1.36545063
 H   -0.03208698   -4.30253286    3.06755869
 H   -0.10787890    3.77861866    3.27333940
 H   -0.08365054    0.77315172    5.18740735
 N   -0.06427882   -0.07863579   -4.31684572
 C   -0.06837955   -0.15104649   -1.80438253
 C   -0.04707915   -2.52823491   -0.50616866
 C   -0.09413753    2.14742982   -0.37149001
 C   -0.05167314   -2.56338239    2.06890668
 C   -0.09794578    2.03421168    2.20133657
 C   -0.07694933   -0.30237081    3.44617915
 H   -0.04598833   -1.70129656   -5.38364803
 H   -0.07924225    1.60277385   -5.28847702
 H   -0.02793269   -4.23327024   -1.58934735
 H   -0.10991123    3.91202054   -1.35472900
 H   -0.03583135   -4.33451228    3.05078501
 H   -0.11715646    3.74585370    3.28353326
 H   -0.09172399    0.85447233    5.10997957
 N   -0.07316598   -0.08768888   -4.31538171
 C   -0.07695705   -0.16605326   -1.80309668
 C   -0.05377946   -2.54629367   -0.51051935
 C   -0.10425561    2.12900322   -0.36476144
 C   -0.05808470   -2.58754359    2.06446596
 C   -0.10771805    2.00968872    2.20779012
 C   -0.08487964   -0.32981966    3.44709258
 H   -0.05379354   -1.70780445   -5.38602634
 H   -0.08946261    1.59600597   -5.28302614
 H   -0.03349226   -4.24874414   -1.59773549
 H   -0.12142478    3.89590580   -1.34381639
 H   -0.04084279   -4.36098204    3.04214481
 H   -0.12807443    3.71874813    3.29403995
 H   -0.10140897    0.93792609    5.02800488
