Contour value = 0.9
1843200 = number of vibrational basis functions from initial-state totally symemtric irreducible
3686400 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       11.45002       36.77430          3              2.76981
   2       -8.35937       12.17660          1              0.09430
   3      -31.93049      -13.22084          4              3.67580
   4      -10.34669        7.89780          1              0.01897
   5      -11.18320        6.63862          1              0.12339
   6        0.57253       17.29794          2              1.19139
   7      -13.35194        3.10501          1              0.62779
   8       -9.38692        5.40080          1              0.14191
   9      -16.05388       -1.65809          2              1.43547
  10       -5.01625        5.40568          0             -0.06031
  11       -4.78216        5.59548          0             -0.02437
  12       -5.75940        4.57043          1              0.01012
  13       -7.50002        2.68797          1              0.37130
  14      -19.37374       18.69523          0             -0.18551
  15      -16.39249        8.57359          1              0.06125
  16       38.02612       54.44463          9              8.58739
  17       -4.04011       18.38450          1              0.54669
  18       -7.57797       13.21006          1              0.16554
  19      -10.24552        9.09855          0             -0.03072
  20       -8.80584        9.51506          0             -0.05949
  21      -14.97051       14.97049          0             -0.10496
  22      -11.56619       11.56599          0             -0.10393
  23       -8.72947        8.72946          0             -0.14426
  24       -8.62853        8.62858          0             -0.11363
  25       -8.45795        8.45810          0             -0.08941
  26       -8.13792        8.13785          0             -0.06954
  27       -7.76819        7.76819          0             -0.10154
  28       -7.47637        7.47628          0             -0.10082
  29       -7.11659        7.11674          0             -0.10548
  30       -5.20984        5.20989          0             -0.09017
  31       -5.18512        5.18509          0             -0.08990
  32       -4.98837        4.98841          0             -0.10860
  33      -14.02240       14.02238          0             -0.17119
  34      -16.99443       16.99449          1              0.30047
  35      -10.10060       10.10045          0             -0.09914
  36       -9.22701        9.22697          0             -0.09675
