Ground state energy = 26530.66 cm^-1
Max intensity = 0.004505
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
     2        241.95    0.00000e+00    0.0012681    0.0000016    0.00035693    1.219850235412932e-01
     3        493.69    0.00000e+00    0.0018703    0.0000035    0.00077636    1.231320126442987e-01
     5        671.45    0.00000e+00    0.0021156    0.0000045    0.00099340    1.239419531255601e-01
     6        772.01    0.00000e+00    0.0010209    0.0000010    0.00023131    1.244001430237213e-01
     9       1023.69    0.00000e+00    0.0014376    0.0000021    0.00045870    1.255468807558873e-01
    16       1201.47    0.00000e+00    0.0016775    0.0000028    0.00062457    1.263569020151731e-01
    25       1391.48    0.00000e+00    0.0016317    0.0000027    0.00059093    1.272226630419837e-01
    29       1440.04    0.00000e+00    0.0031045    0.0000096    0.00213911    1.274439237523795e-01
    37       1569.25    0.00000e+00    0.0018981    0.0000036    0.00079968    1.280326643908710e-01
    51       1682.19    0.00000e+00    0.0038186    0.0000146    0.00323647    1.285472541383664e-01
    77       1921.43    0.00000e+00    0.0013098    0.0000017    0.00038077    1.296373159224561e-01
    78       1931.98    0.00000e+00    0.0084326    0.0000711    0.01578284    1.296853662863762e-01
    83       1970.03    0.00000e+00    0.0023669    0.0000056    0.00124339    1.298587423670315e-01
    92       2037.37    0.00000e+00    0.0016038    0.0000026    0.00057088    1.301655600324598e-01
   104       2099.24    0.00000e+00    0.0015772    0.0000025    0.00055213    1.304474797736822e-01
   105       2109.82    0.00000e+00    0.0093697    0.0000878    0.01948529    1.304956539326385e-01
   125       2212.15    0.00000e+00    0.0030994    0.0000096    0.00213206    1.309619051285606e-01
   126       2215.30    0.00000e+00    0.0017618    0.0000031    0.00068894    1.309762869292027e-01
   144       2288.89    0.00000e+00    0.0012743    0.0000016    0.00036039    1.313115603751540e-01
   149       2313.67    0.00000e+00    0.0012132    0.0000015    0.00032669    1.314244624294204e-01
   155       2337.60    0.00000e+00    0.0032650    0.0000107    0.00236602    1.315335139558629e-01
   185       2461.69    0.00000e+00    0.0062398    0.0000389    0.00864183    1.320989095013611e-01
   186       2466.67    0.00000e+00    0.0016827    0.0000028    0.00062844    1.321215852349254e-01
   199       2500.03    0.00000e+00    0.0012923    0.0000017    0.00037064    1.322736149726838e-01
   225       2561.53    0.00000e+00    0.0012432    0.0000015    0.00034305    1.325537883816041e-01
   227       2567.24    0.00000e+00    0.0012153    0.0000015    0.00032781    1.325798193702596e-01
   233       2579.47    0.00000e+00    0.0019280    0.0000037    0.00082505    1.326355598641810e-01
   253       2639.55    0.00000e+00    0.0069694    0.0000486    0.01078090    1.329092763323080e-01
   302       2742.10    0.00000e+00    0.0018627    0.0000035    0.00077013    1.333765444394640e-01
   304       2745.21    0.00000e+00    0.0013140    0.0000017    0.00038320    1.333907373510299e-01
   315       2764.40    0.00000e+00    0.0014514    0.0000021    0.00046755    1.334781450633049e-01
   329       2789.60    0.00000e+00    0.0016383    0.0000027    0.00059576    1.335929631358707e-01
   339       2807.88    0.00000e+00    0.0015362    0.0000024    0.00052376    1.336762542261568e-01
   341       2810.52    0.00000e+00    0.0036306    0.0000132    0.00292564    1.336883012479700e-01
   349       2826.56    0.00000e+00    0.0014094    0.0000020    0.00044091    1.337613940436450e-01
   350       2828.31    0.00000e+00    0.0054467    0.0000297    0.00658458    1.337693288115019e-01
   351       2828.56    0.00000e+00    0.0085139    0.0000725    0.01608865    1.337704808433131e-01
   369       2867.51    0.00000e+00    0.0025847    0.0000067    0.00148284    1.339479392948352e-01
   375       2877.71    0.00000e+00    0.0010790    0.0000012    0.00025842    1.339944196198938e-01
   378       2887.11    0.00000e+00    0.0017719    0.0000031    0.00069687    1.340372434357273e-01
   396       2916.56    0.00000e+00    0.0012684    0.0000016    0.00035710    1.341714627921534e-01
   399       2920.07    0.00000e+00    0.0031224    0.0000097    0.00216393    1.341874429738255e-01
   410       2934.48    0.00000e+00    0.0021034    0.0000044    0.00098200    1.342530749336029e-01
   429       2969.09    0.00000e+00    0.0010714    0.0000011    0.00025476    1.344107879989348e-01
   430       2970.32    0.00000e+00    0.0046841    0.0000219    0.00486975    1.344163829438984e-01
   431       2971.15    0.00000e+00    0.0070214    0.0000493    0.01094233    1.344201861149590e-01
   432       2971.98    0.00000e+00    0.0049674    0.0000247    0.00547660    1.344239503914334e-01
   435       2974.43    0.00000e+00    0.0076300    0.0000582    0.01292126    1.344351121654286e-01
   440       2979.14    0.00000e+00    0.0011829    0.0000014    0.00031059    1.344565802305198e-01
   446       2986.82    0.00000e+00    0.0010726    0.0000012    0.00025536    1.344915540959293e-01
   447       2987.11    0.00000e+00    0.0068009    0.0000463    0.01026573    1.344928784950172e-01
   450       2991.39    0.00000e+00    0.0031484    0.0000099    0.00220008    1.345123892710650e-01
   452       2996.53    0.00000e+00    0.0010800    0.0000012    0.00025887    1.345358356319840e-01
   456       3003.89    0.00000e+00    0.0058008    0.0000336    0.00746851    1.345693640956000e-01
   458       3005.88    0.00000e+00    0.0125092    0.0001565    0.03473082    1.345784371251303e-01
   462       3009.66    0.00000e+00    0.0029300    0.0000086    0.00190543    1.345956229659604e-01
   469       3018.85    0.00000e+00    0.0034877    0.0000122    0.00269978    1.346375022438544e-01
   472       3025.05    0.00000e+00    0.0033354    0.0000111    0.00246926    1.346657738637973e-01
   477       3028.26    0.00000e+00    0.0017248    0.0000030    0.00066029    1.346803875250103e-01
   487       3037.46    0.00000e+00    0.0020043    0.0000040    0.00089166    1.347223262660302e-01
   488       3038.36    0.00000e+00    0.0016585    0.0000028    0.00061048    1.347264251683861e-01
   491       3045.85    0.00000e+00    0.0013949    0.0000019    0.00043189    1.347605518609468e-01
   492       3045.98    0.00000e+00    0.0054764    0.0000300    0.00665654    1.347611274059291e-01
   500       3057.75    0.00000e+00    0.0010467    0.0000011    0.00024316    1.348147311553514e-01
   513       3069.99    0.00000e+00    0.0068526    0.0000470    0.01042253    1.348705293085351e-01
   516       3073.91    0.00000e+00    0.0094431    0.0000892    0.01979175    1.348883660694854e-01
   521       3079.84    0.00000e+00    0.0011862    0.0000014    0.00031232    1.349154034904022e-01
   522       3082.39    0.00000e+00    0.0109360    0.0001196    0.02654446    1.349270366831583e-01
   527       3091.26    0.00000e+00    0.0010231    0.0000010    0.00023231    1.349674504980185e-01
   529       3094.34    0.00000e+00    0.0027358    0.0000075    0.00166119    1.349814923095820e-01
   531       3097.10    0.00000e+00    0.0012316    0.0000015    0.00033665    1.349940263006383e-01
   535       3103.52    0.00000e+00    0.0079776    0.0000636    0.01412559    1.350232934962418e-01
   537       3104.90    0.00000e+00    0.0080392    0.0000646    0.01434463    1.350295818369693e-01
   538       3106.20    0.00000e+00    0.0086579    0.0000750    0.01663730    1.350355088349750e-01
   539       3107.03    0.00000e+00    0.0144260    0.0002081    0.04619032    1.350392777787590e-01
   540       3109.76    0.00000e+00    0.0059818    0.0000358    0.00794199    1.350517241609647e-01
   543       3112.44    0.00000e+00    0.0012384    0.0000015    0.00034037    1.350639505563018e-01
   544       3112.98    0.00000e+00    0.0020054    0.0000040    0.00089263    1.350663888814521e-01
   546       3113.31    0.00000e+00    0.0024660    0.0000061    0.00134977    1.350678835931724e-01
   549       3121.51    0.00000e+00    0.0021846    0.0000048    0.00105929    1.351052840200599e-01
   552       3131.07    0.00000e+00    0.0020562    0.0000042    0.00093839    1.351488390409444e-01
   556       3133.10    0.00000e+00    0.0027249    0.0000074    0.00164795    1.351580631034553e-01
   558       3136.99    0.00000e+00    0.0169649    0.0002878    0.06387972    1.351758109078418e-01
   562       3142.98    0.00000e+00    0.0076224    0.0000581    0.01289544    1.352030687993076e-01
   563       3143.19    0.00000e+00    0.0053121    0.0000282    0.00626303    1.352040497875689e-01
   564       3144.13    0.00000e+00    0.0023549    0.0000055    0.00123081    1.352083291470882e-01
   569       3149.53    0.00000e+00    0.0015060    0.0000023    0.00050341    1.352329532977941e-01
   572       3153.76    0.00000e+00    0.0014669    0.0000022    0.00047761    1.352522128444262e-01
   574       3154.75    0.00000e+00    0.0111849    0.0001251    0.02776672    1.352567247987254e-01
   589       3169.29    0.00000e+00    0.0029410    0.0000086    0.00191977    1.353229844762072e-01
   597       3179.10    0.00000e+00    0.0057680    0.0000333    0.00738437    1.353676577402247e-01
   598       3179.55    0.00000e+00    0.0113215    0.0001282    0.02844901    1.353697314965598e-01
   599       3180.40    0.00000e+00    0.0020506    0.0000042    0.00093333    1.353735764358150e-01
   600       3182.46    0.00000e+00    0.0019133    0.0000037    0.00081251    1.353829674603545e-01
   607       3186.21    0.00000e+00    0.0013972    0.0000020    0.00043326    1.354000721289660e-01
   618       3199.78    0.00000e+00    0.0073540    0.0000541    0.01200329    1.354619025157418e-01
   619       3200.93    0.00000e+00    0.0087586    0.0000767    0.01702660    1.354671099973847e-01
   622       3205.90    0.00000e+00    0.0016092    0.0000026    0.00057473    1.354897858517324e-01
   623       3206.27    0.00000e+00    0.0094036    0.0000884    0.01962673    1.354914479575682e-01
   624       3208.49    0.00000e+00    0.0023138    0.0000054    0.00118822    1.355015963071529e-01
   626       3212.70    0.00000e+00    0.0095968    0.0000921    0.02044123    1.355207763681463e-01
   627       3213.34    0.00000e+00    0.0086613    0.0000750    0.01665040    1.355236516252822e-01
   628       3214.00    0.00000e+00    0.0020052    0.0000040    0.00089243    1.355266758543204e-01
   631       3216.91    0.00000e+00    0.0010444    0.0000011    0.00024210    1.355399368058673e-01
   633       3218.13    0.00000e+00    0.0012827    0.0000016    0.00036517    1.355454871855910e-01
   641       3227.97    0.00000e+00    0.0076605    0.0000587    0.01302495    1.355903172716676e-01
   647       3234.61    0.00000e+00    0.0030066    0.0000090    0.00200641    1.356205876604334e-01
   651       3235.79    0.00000e+00    0.0058643    0.0000344    0.00763303    1.356259711924547e-01
   652       3239.07    0.00000e+00    0.0017204    0.0000030    0.00065695    1.356408970783629e-01
   653       3240.01    0.00000e+00    0.0019051    0.0000036    0.00080558    1.356451776449813e-01
   658       3246.81    0.00000e+00    0.0019335    0.0000037    0.00082974    1.356761775169176e-01
   662       3252.06    0.00000e+00    0.0034942    0.0000122    0.00270985    1.357000813610358e-01
   668       3258.25    0.00000e+00    0.0022365    0.0000050    0.00111018    1.357283018828653e-01
   679       3272.21    0.00000e+00    0.0010650    0.0000011    0.00025176    1.357919114583877e-01
   680       3273.85    0.00000e+00    0.0017488    0.0000031    0.00067876    1.357993905051084e-01
   681       3274.81    0.00000e+00    0.0011835    0.0000014    0.00031087    1.358037532125782e-01
