Contour value = 0.92
737280 = number of vibrational basis functions from initial-state totally symemtric irreducible
737280 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -39.16343      -13.36062          4              3.05327
   2      -27.85645       -8.41399          3              2.16557
   3      -16.76163        3.96775          1              0.63951
   4      -10.70378        7.80488          1              0.05494
   5       -3.53240       14.91068          1              0.59648
   6      -15.03227        2.06727          1              0.73062
   7      -15.13428        1.66161          1              0.94443
   8       -8.75010        6.37088          1              0.04867
   9      -17.65108       -2.90882          2              1.92600
  10       -5.14817        5.50646          0             -0.04441
  11       -4.78891        5.82454          1              0.01331
  12       -6.48523        4.06212          1              0.14366
  13       -7.65246        2.76686          1              0.41387
  14      -19.48700       18.74275          0             -0.16756
  15       38.43891       55.29781          5              4.89593
  16       -9.40316       15.93799          1              0.02120
  17       -9.81331       14.30070          1              0.09344
  18      -10.27331       11.01767          0             -0.07976
  19       -9.33039       10.23888          0             -0.07965
  20       -9.80449        9.18187          0             -0.07722
  21      -10.02110       10.02113          0             -0.92491
  22      -13.96496       13.96494          0             -0.01729
  23      -11.81772       11.81752          0             -0.08838
  24       -8.78721        8.78724          0             -0.11331
  25       -8.68217        8.68218          0             -0.09632
  26       -8.68034        8.68014          0             -0.05035
  27       -7.72040        7.72052          0             -0.07689
  28       -8.14597        8.14596          0             -0.01953
  29       -7.70416        7.70421          0             -0.03214
  30       -5.38636        5.38632          0             -0.06261
  31       -5.36095        5.36100          0             -0.06588
  32       -5.10759        5.10764          0             -0.08033
  33      -16.75390       16.75397          0             -1.13550
  34      -14.26166       14.26164          0             -0.21531
  35      -10.34409       10.34395          0             -0.14759
  36      -10.57048       10.57044          0             -0.04296
