-286.0951962554    -285.9448710699    -285.9148131655    -285.8678275110    
-286.0949561373    -285.9435172459    -285.9128409498    -285.8688629730    
-286.0937900361    -285.9412479754    -285.9099994159    -285.8690276578    
-286.0916851654    -285.9380474075    -285.9062822060    -285.8683096127    
-286.0886279900    -285.9338992756    -285.9016845054    -285.8666976098    
-286.0846012588    -285.9287833262    -285.8961996811    -285.8641766645    
-286.0795845274    -285.9226759064    -285.8898203254    -285.8607288359    
-286.0735543469    -285.9155503192    -285.8825388552    -285.8563335569    
-286.0664839057    -285.9073763331    -285.8743475190    -285.8509670996    
-286.0583428976    -285.8981201114    -285.8652385617    -285.8446023983    
-286.0929299731    -285.9448736434    -285.9161601062    -285.8631696271    
-286.0904323954    -285.9435360099    -285.9155362699    -285.8595542416    
-286.0870269411    -285.9413105484    -285.9140458627    -285.8550823502    
-286.0827115717    -285.9381973513    -285.9116851333    -285.8497518486    
