sin(HooC), energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree, energy A2 / Hartree
    0.000000000000000,   -286.0945184995,   -285.9453200579,   -285.9159186745,   -285.8659277742
    0.099916680151590,   -286.0938945173,   -285.9446688108,   -285.9155589442,   -285.8654369420    
    0.199334005474076,   -286.0920136519,   -285.9427069961,   -285.9144615540,   -285.8639559634    
    0.297755055375303,   -286.0888538172,   -285.9394145840,   -285.9125769399,   -285.8614635690    
    0.394687956644349,   -286.0843755108,   -285.9347546999,   -285.9098240283,   -285.8579212116    
    0.489648249888086,   -286.0785195813,   -285.9286706648,   -285.9060929438,   -285.8532708392    
    0.582161308111900,   -286.0712024947,   -285.9210807963,   -285.9012457772,   -285.8474310581    
    0.671764778861162,   -286.0623088925,   -285.9118707621,   -285.8951145503,   -285.8402916691    
    0.758010821690935,   -286.0516795710,   -285.9008814865,   -285.8874944330,   -285.8317050044    
    0.840468390925092,   -286.0390911230,   -285.8878886825,   -285.8781290536,   -285.8214710990    
    0.918725365396638,   -286.0242187643,   -285.8725654628,   -285.8666810216,   -285.8093102166
    0.992390635857340,   -286.0065615356,   -285.8544070694,   -285.8526704557,   -285.7948073724
    1.061096011150984,   -285.9852696484,   -285.8325572643,   -285.8353314868,   -285.7772844046
    1.124498127528598,   -285.9586533157,   -285.8053148118,   -285.8132026662,   -285.7554383682
