-285.9635628103    -285.9469189109    -285.8443694618    -285.8242715860    -285.7819119477    
-285.9637153266    -285.9467518105    -285.8450883658    -285.8233388465    -285.7808628259    
-285.9630739203    -285.9467527548    -285.8433244152    -285.8248762772    -285.7826336080    
-285.9630261154    -285.9468212368    -285.8426146762    -285.8243326842    -285.7804399819    
-285.9638970620    -285.9468237293    -285.8459038178    -285.8240080955    -285.7831722407    
-285.9641197858    -285.9467820456    -285.8435855616    -285.8241621700    -285.7825766516    
-285.9627206320    -285.9467878201    -285.8448568370    -285.8240786436    -285.7809920507    
-285.9634867607    -285.9468487463    -285.8443208489    -285.8242147516    -285.7818377222    
-285.9635016407    -285.9468512832    -285.8442804978    -285.8241909329    -285.7818486703    
-285.9634846168    -285.9468494580    -285.8443032296    -285.8242097729    -285.7818681120    
-285.9635040935    -285.9468512529    -285.8442981293    -285.8241962551    -285.7818191145    
-285.9634408373    -285.9468484135    -285.8443279835    -285.8241932723    -285.7818135944    
-285.9635467258    -285.9468502037    -285.8442715806    -285.8242109258    -285.7818722248    
-285.9624067101    -285.9468240614    -285.8444844630    -285.8224080248    -285.7811167342    
-285.9645086647    -285.9468283680    -285.8440522940    -285.8258922507    -285.7825032144    
-285.9633393222    -285.9466094349    -285.8452932947    -285.8240180499    -285.7804636896    
-285.9631699360    -285.9466009571    -285.8428546079    -285.8239034539    -285.7827836901    
-285.9631508035    -285.9466034674    -285.8449099539    -285.8239257812    -285.7806056557    
-285.9633501824    -285.9465944449    -285.8431970130    -285.8239749604    -285.7826176924    
-285.9635342053    -285.9469050761    -285.8443722472    -285.8242499125    -285.7818989236    
-285.9635637987    -285.9469047406    -285.8443387173    -285.8242653514    -285.7818968954    
-285.9635828428    -285.9469054773    -285.8443469721    -285.8242752722    -285.7819206477    
-285.9635151255    -285.9469054878    -285.8443648747    -285.8242408295    -285.7818755082    
-285.9634786332    -285.9468526783    -285.8442271545    -285.8241359491    -285.7818843497    
-285.9635072814    -285.9468526883    -285.8443707148    -285.8241922387    -285.7817863690    
-285.9635472384    -285.9468317819    -285.8443201174    -285.8241825456    -285.7818303112    
-285.9634006905    -285.9468317303    -285.8442512971    -285.8241625264    -285.7817972887    
-285.9634241499    -285.9468516333    -285.8443313474    -285.8241770732    -285.7817985783    
-285.9635845280    -285.9468519157    -285.8443263838    -285.8241732002    -285.7818946361    
-285.9634865175    -285.9468506619    -285.8443011252    -285.8242030008    -285.7818356994    
-285.9635028383    -285.9468506603    -285.8443008111    -285.8242036409    -285.7818522119    
-285.9634856374    -285.9468498120    -285.8442986402    -285.8242057618    -285.7818343543    
-285.9635030983    -285.9468498058    -285.8443019040    -285.8241994809    -285.7818526738    
-285.9636090354    -285.9468826554    -285.8443273914    -285.8242317826    -285.7819567185    
-285.9634419586    -285.9468825962    -285.8443375507    -285.8242369254    -285.7818063815    
-285.9635570952    -285.9469123637    -285.8443629111    -285.8242642548    -285.7819065736    
-285.9635553488    -285.9469123190    -285.8443627538    -285.8242655657    -285.7819042926    
-285.9635638781    -285.9469053656    -285.8443530970    -285.8242583695    -285.7819165561    
-285.9635351274    -285.9469053728    -285.8443588131    -285.8242578134    -285.7818802377    
-285.9635562775    -285.9469058292    -285.8443514735    -285.8242584766    -285.7819057058    
-285.9635425709    -285.9469058712    -285.8443611771    -285.8242583942    -285.7818912755    
-285.9632431391    -285.9469064886    -285.8443697654    -285.8242270068    -285.7816020182    
-285.9638578993    -285.9469069306    -285.8443439204    -285.8242899938    -285.7821995996    
-285.9655009109    -285.9464654293    -285.8441062308    -285.8238243654    -285.7839037692    
-285.9616435303    -285.9473619646    -285.8446246323    -285.8247067552    -285.7799387152    
-285.9636832284    -285.9468397924    -285.8443434293    -285.8241989658    -285.7819983412    
-285.9632848016    -285.9468433435    -285.8442415530    -285.8241898508    -285.7816670564    
-285.9635224553    -285.9469175450    -285.8443752653    -285.8242640354    -285.7819022270    
-285.9635895776    -285.9469181992    -285.8443608253    -285.8242765032    -285.7819088542    
-285.9629296463    -285.9469096887    -285.8443317119    -285.8242158865    -285.7813332377    
-285.9641746874    -285.9469099043    -285.8443887889    -285.8243083939    -285.7824698599    
-285.9635567493    -285.9469127646    -285.8443636242    -285.8242680746    -285.7819082155    
-285.9635419198    -285.9468985806    -285.8443498986    -285.8242606725    -285.7818951503    
-285.9635387998    -285.9468936321    -285.8443507494    -285.8242491458    -285.7818983801    
-285.9635452963    -285.9468962900    -285.8443589888    -285.8242504788    -285.7819021131    
-285.9635549202    -285.9469073752    -285.8443654754    -285.8242641141    -285.7819049949    
-285.9635589344    -285.9468670793    -285.8443397933    -285.8242474737    -285.7818962352    
-285.9635439921    -285.9468982354    -285.8443505455    -285.8242537946    -285.7819114696    
-285.9635388652    -285.9468939161    -285.8443471859    -285.8242498901    -285.7819010888    
-285.9635442149    -285.9468983698    -285.8443534471    -285.8242505770    -285.7819084798    
-285.9635774384    -285.9469041235    -285.8443708081    -285.8242724684    -285.7819126354    
-285.9635705818    -285.9469096239    -285.8443668657    -285.8242694347    -285.7819143606    
