Contour value = 0.97
2949120 = number of vibrational basis functions from initial-state totally symemtric irreducible
47185920 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -39.86459      -12.65945          4              3.18164
   2      -28.38477       -7.88566          3              2.26764
   3      -17.32493        4.53104          1              0.71738
   4      -11.20673        8.30783          1              0.10831
   5       -4.03357       15.41185          1              0.67143
   6      -15.49693        2.53193          1              0.80787
   7      -15.59069        2.11802          2              1.03286
   8       -9.16100        6.78178          1              0.10141
   9      -18.05168       -2.50822          3              2.03737
  10       -5.43770        5.79599          1              0.00476
  11       -5.07732        6.11295          1              0.06540
  12       -6.77184        4.34873          1              0.20181
  13       -7.93559        3.05000          1              0.48274
  14      -20.52585       19.78160          0             -0.13117
  15       37.98079       55.75593          5              4.98570
  16      -10.09178       16.62661          1              0.06722
  17      -10.46858       14.95598          1              0.14907
  18      -10.85187       11.59623          0             -0.03446
  19       -9.86217       10.77066          0             -0.03486
  20      -10.32043        9.69780          0             -0.03156
  21      -10.56573       10.56575          0             -0.97235
  22      -14.72393       14.72391          1              0.03660
  23      -12.45999       12.45979          0             -0.04242
  24       -9.26478        9.26481          0             -0.07014
  25       -9.15403        9.15404          0             -0.05125
  26       -9.15210        9.15189          0             -0.00015
  27       -8.13999        8.14011          0             -0.02965
  28       -8.58869        8.58868          1              0.03411
  29       -8.12286        8.12291          1              0.02010
  30       -5.67909        5.67905          0             -0.01377
  31       -5.65231        5.65235          0             -0.01742
  32       -5.38518        5.38523          0             -0.03347
  33      -17.66444       17.66451          0             -1.20645
  34      -15.03675       15.03673          0             -0.18352
  35      -10.90627       10.90613          0             -0.10824
  36      -11.14497       11.14493          1              0.00807
