time-step,nac01,nac02,nac03,nac12,nac13,nac23,energy0,energy1,energy2,energy3
0,0.249176,1.23095,0.133869,1.08007,1.88268,0.507847,0.0671212,0.237768,0.255287,0.298499
1,0.293502,1.10674,0.158173,0.963278,1.81672,0.57017,0.068625,0.237842,0.25693,0.299372
2,0.301581,0.999197,0.165695,1.1339,1.74556,0.529414,0.0648712,0.236556,0.251869,0.297392
3,0.273479,0.960836,0.141494,1.70214,1.73776,0.421183,0.0518714,0.228279,0.237534,0.28788
4,0.23967,0.999987,0.121405,5.99156,1.68692,0.365508,0.0382215,0.218822,0.223003,0.275697
5,0.692046,0.890248,0.12887,21.0107,1.28723,1.0656,0.0488605,0.230846,0.233756,0.285009
6,0.935985,0.847609,0.129537,15.4039,1.07315,1.27785,0.0555874,0.235181,0.239037,0.288327
7,0.674893,1.20808,0.127362,14.222,1.50457,0.985105,0.0332613,0.210007,0.213751,0.262305
8,0.324624,1.40502,0.12592,9.82253,1.99963,0.747325,0.0336273,0.210723,0.214197,0.26132
9,0.227391,1.43261,0.123096,2.16533,2.23373,0.609809,0.0519194,0.227683,0.234118,0.279307
10,0.346655,1.40509,0.126424,1.76146,2.29908,0.737356,0.0685537,0.241121,0.250318,0.294329
11,0.410119,1.37239,0.134528,2.26314,2.30736,0.775989,0.0791054,0.24995,0.257472,0.301936
12,0.524738,1.29863,0.132678,5.57304,2.25077,0.715039,0.0792166,0.250191,0.252988,0.299482
13,1.36359,0.239319,0.135722,7.77239,0.500821,2.22691,0.069624,0.239255,0.24211,0.288005
14,1.38004,0.362131,0.146896,2.3372,0.34094,2.26785,0.0620437,0.228807,0.235357,0.279396
15,1.41844,0.48667,0.140989,3.25187,0.481021,2.34068,0.0711659,0.236674,0.24578,0.290023
16,1.45038,0.567334,0.144164,3.62233,0.598449,2.48659,0.0872871,0.253044,0.264942,0.309711
17,1.42814,0.686889,0.157427,5.50767,0.781142,2.46323,0.0682576,0.235508,0.245417,0.29302
18,1.40114,0.73622,0.165753,10.1247,0.797201,2.31694,0.0524722,0.222355,0.227724,0.280312
19,1.43409,0.579466,0.155165,23.5107,0.397609,2.12689,0.059665,0.232221,0.233701,0.292864
20,0.749718,1.27,0.167435,16.8701,1.77843,0.49515,0.0721597,0.2433,0.245899,0.30754
21,0.693358,1.1661,0.177738,6.04807,1.59238,0.353596,0.076586,0.24461,0.250278,0.312054
22,0.610812,1.03016,0.158907,4.17066,1.64387,0.321049,0.0706015,0.23761,0.244141,0.306759
23,0.496824,0.921298,0.129694,4.8497,1.83981,0.329504,0.0616617,0.230461,0.23517,0.298639
24,0.32644,0.928984,0.133896,5.28973,1.95375,0.191837,0.0520745,0.223027,0.225624,0.288706
