time-step,nac01,nac02,nac03,nac12,nac13,nac23,energy0,energy1,energy2,energy3
133,0.345228,1.04873,0.142464,0.569585,1.56094,0.419235,0.0763666,0.218311,0.268724,0.317116
134,0.309541,1.06264,0.141254,0.532729,1.7003,0.395719,0.0776349,0.218656,0.265254,0.311797
135,0.253457,1.14007,0.139457,0.495759,1.63337,0.340871,0.0757901,0.216463,0.258441,0.303871
136,0.190672,1.28918,0.137678,0.456227,1.46008,0.27518,0.0660991,0.20727,0.243983,0.289358
137,0.163548,1.47356,0.133133,0.447771,1.362,0.219592,0.0545085,0.197279,0.227884,0.274779
138,0.182891,1.62403,0.129524,0.58504,1.46629,0.189911,0.0504075,0.195045,0.219651,0.269829
139,0.208941,1.69164,0.13266,0.927047,1.68787,0.201575,0.0565933,0.201182,0.222816,0.277236
140,0.235748,1.67623,0.141738,1.15546,1.89147,0.254986,0.0691479,0.210939,0.234865,0.292387
141,0.265223,1.57083,0.154523,1.19687,2.09837,0.330603,0.0823118,0.221636,0.250441,0.308793
142,0.289908,1.39895,0.171198,1.22859,2.32552,0.414775,0.0900157,0.229781,0.261919,0.320127
143,0.321397,1.2398,0.191769,1.26592,2.48548,0.485572,0.0936646,0.235152,0.268358,0.327156
144,0.380685,1.10971,0.215896,1.27298,2.51914,0.518052,0.100673,0.241933,0.275454,0.336318
145,0.477066,0.982039,0.242642,1.20537,2.49381,0.511434,0.112731,0.250165,0.284607,0.347681
146,0.588268,0.87995,0.26386,1.08023,2.47242,0.470162,0.124967,0.257648,0.293225,0.357164
147,0.66073,0.840134,0.268078,0.999052,2.46899,0.407718,0.128866,0.260305,0.295393,0.35918
148,0.6686,0.876264,0.251312,1.00671,2.48827,0.354045,0.117398,0.252787,0.284018,0.34745
149,0.627913,0.99472,0.215081,1.06897,2.45691,0.326501,0.0917934,0.233762,0.259041,0.322427
150,0.561388,1.18771,0.167401,1.13615,2.34048,0.344308,0.0647105,0.212415,0.232546,0.295574
151,0.484198,1.36179,0.125141,1.16865,2.27063,0.387521,0.0519679,0.203757,0.220655,0.281981
152,0.404072,1.44413,0.103118,1.14915,2.39379,0.431458,0.0557429,0.210831,0.225968,0.284858
153,0.341822,1.4686,0.109404,1.10832,2.64964,0.47654,0.0600595,0.21784,0.232109,0.288561
154,0.310925,1.41831,0.136123,1.18196,2.8085,0.574939,0.0551663,0.214988,0.228809,0.283215
155,0.327528,1.27201,0.158647,1.12302,2.67981,0.693664,0.0506651,0.211691,0.225841,0.278574
156,0.355692,1.09256,0.167815,0.832205,2.29897,0.643762,0.055757,0.216272,0.232797,0.284471
157,0.37968,0.945491,0.160231,0.668427,1.8997,0.494581,0.069638,0.226357,0.24863,0.299088
158,0.404923,0.870547,0.145626,0.646631,1.6205,0.412346,0.0854745,0.234859,0.26604,0.31519
159,0.42976,0.877146,0.14067,0.61151,1.51729,0.379959,0.0960793,0.237791,0.278395,0.326958
160,0.440646,0.933249,0.143016,0.584717,1.57098,0.3529,0.0976445,0.236561,0.283613,0.331783
161,0.427039,0.998998,0.145833,0.575977,1.72578,0.327412,0.0897427,0.232325,0.282086,0.329419
162,0.403104,1.05931,0.146937,0.548159,1.89157,0.319052,0.0760354,0.22477,0.276535,0.32294
163,0.390079,1.08014,0.145458,0.488117,1.98185,0.347203,0.0662257,0.21872,0.274286,0.320585
164,0.384475,1.06164,0.136472,0.433355,2.02339,0.370708,0.0683142,0.220841,0.280233,0.327825
165,0.384245,1.05938,0.122066,0.389718,2.10329,0.367853,0.0761225,0.226256,0.287313,0.336447
166,0.39453,1.08654,0.110733,0.347627,2.22884,0.366732,0.0802242,0.226858,0.28744,0.337023
167,0.404252,1.1165,0.100481,0.315248,2.33969,0.384548,0.0797706,0.223077,0.281377,0.330496
168,0.39953,1.13127,0.092248,0.298554,2.40382,0.425154,0.0790425,0.219971,0.274386,0.323251
169,0.371628,1.13023,0.0948695,0.297882,2.42279,0.464044,0.0833874,0.223554,0.272222,0.322176
170,0.331182,1.13081,0.113707,0.320109,2.4093,0.480747,0.0908504,0.232458,0.273655,0.325728
171,0.309565,1.12661,0.146928,0.386885,2.4114,0.487095,0.0918352,0.237439,0.269976,0.323496
172,0.338125,1.10163,0.18978,0.642605,2.45131,0.50943,0.0808043,0.232902,0.256316,0.309571
173,0.42228,1.05961,0.229596,1.67854,2.46566,0.602426,0.0648861,0.224269,0.239876,0.291637
174,0.565319,1.0033,0.254974,4.81525,2.3321,0.861699,0.0573722,0.221603,0.232507,0.282166
175,0.740707,0.926379,0.276186,7.56909,2.01119,1.19089,0.0617215,0.225611,0.236006,0.28309
176,0.848156,0.90691,0.300018,6.52433,1.77033,1.28857,0.0681673,0.227436,0.240241,0.284955
177,0.906719,0.941408,0.32585,5.28041,1.77642,1.34811,0.0701425,0.224758,0.240036,0.282483
178,0.945136,0.975159,0.367318,5.05181,2.01778,1.60127,0.0699706,0.223473,0.23919,0.278898
179,0.984574,0.961192,0.424607,5.54252,2.24505,2.1134,0.0699388,0.225285,0.239489,0.277103
180,1.00748,0.892677,0.464442,5.20638,2.06098,2.45997,0.0701968,0.226255,0.23945,0.277411
181,0.96308,0.872082,0.461715,4.83972,1.6179,2.0163,0.0719882,0.226307,0.239348,0.281274
182,0.879588,0.935215,0.411243,5.54307,1.27811,1.35672,0.0772136,0.229302,0.242705,0.290885
183,0.78753,1.02635,0.317776,5.87316,1.24651,1.11151,0.0850653,0.236369,0.251298,0.304708
184,0.701367,1.13641,0.216209,5.74634,1.52655,1.06301,0.0904136,0.242711,0.259414,0.316076
