Contour value = 0.93
3686400 = number of vibrational basis functions from initial-state totally symemtric irreducible
7372800 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       11.02795       37.19637          3              2.84529
   2       -8.70164       12.51886          1              0.12818
   3      -32.24231      -12.90901          4              3.75776
   4      -10.65077        8.20188          1              0.04993
   5      -11.48023        6.93565          1              0.15694
   6        0.29377       17.57670          2              1.24635
   7      -13.62622        3.37929          1              0.67460
   8       -9.63338        5.64726          1              0.17607
   9      -16.29381       -1.41816          2              1.49376
  10       -5.18995        5.57938          0             -0.03160
  11       -4.95512        5.76844          1              0.00549
  12       -5.93157        4.74259          1              0.04107
  13       -7.66982        2.85777          1              0.41120
  14      -20.00822       19.32971          0             -0.16458
  15      -16.80859        8.98969          1              0.09010
  16       37.75248       54.71827          9              8.67897
  17       -4.41385       18.75824          1              0.58968
  18       -7.92444       13.55653          1              0.20091
  19      -10.56792        9.42095          0             -0.00072
  20       -9.11119        9.82041          0             -0.03076
  21      -15.46953       15.46951          0             -0.07819
  22      -11.95173       11.95153          0             -0.07708
  23       -9.02045        9.02045          0             -0.12015
  24       -8.91615        8.91620          0             -0.08744
  25       -8.73988        8.74003          0             -0.06158
  26       -8.40918        8.40911          0             -0.04037
  27       -8.02713        8.02713          0             -0.07454
  28       -7.72558        7.72549          0             -0.07376
  29       -7.35381        7.35396          0             -0.07875
  30       -5.38351        5.38356          0             -0.06240
  31       -5.35795        5.35792          0             -0.06210
  32       -5.15465        5.15469          0             -0.08208
  33      -14.48981       14.48979          0             -0.14890
  34      -17.56092       17.56097          1              0.35472
  35      -10.43729       10.43714          0             -0.07197
  36       -9.53458        9.53454          0             -0.06942
