Contour value = 0.99
3440640 = number of vibrational basis functions from initial-state totally symemtric irreducible
440401920 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -40.14506      -12.37899          4              3.23363
   2      -28.59611       -7.67433          3              2.30900
   3      -17.55025        4.75636          1              0.74926
   4      -11.40791        8.50901          1              0.13035
   5       -4.23404       15.61231          1              0.70210
   6      -15.68280        2.71780          1              0.83943
   7      -15.77325        2.30059          2              1.06897
   8       -9.32536        6.94613          1              0.12318
   9      -18.21192       -2.34797          3              2.08262
  10       -5.55351        5.91180          1              0.02513
  11       -5.19268        6.22831          1              0.08694
  12       -6.88648        4.46338          1              0.22577
  13       -8.04885        3.16325          1              0.51099
  14      -20.94139       20.19714          0             -0.11608
  15       37.79754       55.93918          6              5.02182
  16      -10.36723       16.90206          1              0.08617
  17      -10.73069       15.21808          1              0.17202
  18      -11.08329       11.82766          0             -0.01569
  19      -10.07488       10.98337          0             -0.01630
  20      -10.52680        9.90418          0             -0.01264
  21      -10.78358       10.78360          0             -0.99203
  22      -15.02751       15.02750          1              0.05895
  23      -12.71689       12.71669          0             -0.02336
  24       -9.45580        9.45584          0             -0.05223
  25       -9.34277        9.34278          0             -0.03255
  26       -9.34080        9.34059          1              0.02067
  27       -8.30783        8.30795          0             -0.01005
  28       -8.76577        8.76576          1              0.05637
  29       -8.29034        8.29039          1              0.04176
  30       -5.79619        5.79615          1              0.00648
  31       -5.76885        5.76890          1              0.00269
  32       -5.49622        5.49626          0             -0.01403
  33      -18.02865       18.02873          0             -1.23588
  34      -15.34678       15.34676          0             -0.17034
  35      -11.13114       11.13100          0             -0.09192
  36      -11.37476       11.37472          1              0.02924
